Timestamp,Transaction Type,Asset,Quantity Transacted,USD Spot Price at Transaction,USD Subtotal,USD Total (inclusive of fees),USD Fees,Notes
2018-02-05T18:11:17Z,Buy,BTC,0.35014925,7035.00,2463.30,2500.00,36.70,"Bought 0.35014925 BTC for $2,500.00 USD"
2019-02-08T18:07:37Z,Buy,BTC,1.0,3656.90,3656.90,3711.39,54.49,"Bought 1.0000 BTC for $3,711.39 USD"
2019-06-27T20:11:24Z,Buy,BTC,0.35,10731.43,3756.00,3811.96,55.96,"Bought 0.3500 BTC for $3,811.96 USD"
2019-08-01T21:00:04Z,Buy,BTC,0.2705337,10466.72,2831.60,2873.79,42.19,"Bought 0.2705337 BTC for $2,873.79 USD"
2021-01-11T10:32:19Z,Sell,BTC,1.0,35430.87,35430.87,34902.95,527.92,"Sold 1.0000 BTC for $34,902.95 USD"
2021-03-01T12:10:59Z,Send,BTC,0.10003555,47989.92,"","","",Sent 0.10003555 BTC to 1Pn7F6yz2Wdt7FTJRr4wQASMYj7pEbTTba
2018-02-14T12:12:13Z,Buy,ETH,3.0,885.77,2657.30,2696.89,39.59,"Bought 3.0000 ETH for $2,696.89 USD"
2018-07-19T11:14:10Z,Buy,ETH,5.0,479.43,2397.13,2432.85,35.72,"Bought 5.0000 ETH for $2,432.85 USD"
2018-11-15T17:46:25Z,Buy,ETH,8.0,176.66,1413.27,1434.33,21.06,"Bought 8.0000 ETH for $1,434.33 USD"
2019-04-04T09:55:25Z,Buy,ETH,16.0,162.40,2598.37,2637.09,38.72,"Bought 16.0000 ETH for $2,637.09 USD"
2020-08-04T18:46:41Z,Buy,ETH,10.0,389.11,3891.06,3949.04,57.98,"Bought 10.0000 ETH for $3,949.04 USD"
2021-01-11T10:31:11Z,Sell,ETH,8.0,1121.96,8975.72,8841.98,133.74,"Sold 8.0000 ETH for $8,841.98 USD"
2021-05-03T12:06:29Z,Convert,ETH,40.0,3162.72,126496.80,126509.00,12.20,Converted 40.0000 ETH to 40.0000 ETH2
2019-05-07T12:29:24Z,Buy,LTC,60.0,76.68,4600.82,4669.37,68.55,"Bought 60.0000 LTC for $4,669.37 USD"
2019-06-05T21:01:37Z,Buy,LTC,40.0,102.80,4112.18,4173.45,61.27,"Bought 40.0000 LTC for $4,173.45 USD"
2019-07-06T13:23:48Z,Convert,LTC,100.0,119.20,11772.93,11920.00,147.07,Converted 100.0000 LTC to 1.02931709 BTC
2021-02-17T12:54:59Z,Rewards Income,ALGO,0.000324,1.38,0.00,0.00,0.00,Received 0.000324 ALGO from Coinbase Rewards
2021-02-18T12:02:33Z,Rewards Income,ALGO,0.002197,1.38,0.00,0.00,0.00,Received 0.002197 ALGO from Coinbase Rewards
2021-02-19T12:06:22Z,Rewards Income,ALGO,0.002198,1.38,0.00,0.00,0.00,Received 0.002198 ALGO from Coinbase Rewards
2021-02-20T12:06:00Z,Rewards Income,ALGO,0.002198,1.42,0.00,0.00,0.00,Received 0.002198 ALGO from Coinbase Rewards
2021-02-21T11:27:26Z,Rewards Income,ALGO,0.002198,1.33,0.00,0.00,0.00,Received 0.002198 ALGO from Coinbase Rewards
2021-02-22T14:28:05Z,Rewards Income,ALGO,0.002199,1.01,0.00,0.00,0.00,Received 0.002199 ALGO from Coinbase Rewards
2021-02-23T13:07:28Z,Rewards Income,ALGO,0.002199,0.970000,0.00,0.00,0.00,Received 0.002199 ALGO from Coinbase Rewards
2021-02-24T11:18:44Z,Rewards Income,ALGO,0.002199,1.11,0.00,0.00,0.00,Received 0.002199 ALGO from Coinbase Rewards
2021-02-25T14:00:14Z,Rewards Income,ALGO,0.0022,1.10,0.00,0.00,0.00,Received 0.0022 ALGO from Coinbase Rewards
2021-02-26T14:31:49Z,Rewards Income,ALGO,0.0022,1.00,0.00,0.00,0.00,Received 0.0022 ALGO from Coinbase Rewards
2021-02-27T10:59:26Z,Rewards Income,ALGO,0.0022,1.03,0.00,0.00,0.00,Received 0.0022 ALGO from Coinbase Rewards
2021-02-28T11:50:45Z,Rewards Income,ALGO,0.002201,1.06,0.00,0.00,0.00,Received 0.002201 ALGO from Coinbase Rewards
2021-03-01T10:37:20Z,Rewards Income,ALGO,0.002201,1.07,0.00,0.00,0.00,Received 0.002201 ALGO from Coinbase Rewards
2021-03-02T14:32:23Z,Rewards Income,ALGO,0.002201,1.15,0.00,0.00,0.00,Received 0.002201 ALGO from Coinbase Rewards
2021-03-03T12:28:09Z,Rewards Income,ALGO,0.002202,1.13,0.00,0.00,0.00,Received 0.002202 ALGO from Coinbase Rewards
2021-03-04T10:41:39Z,Rewards Income,ALGO,0.002202,1.14,0.00,0.00,0.00,Received 0.002202 ALGO from Coinbase Rewards
2021-03-05T12:32:32Z,Rewards Income,ALGO,0.002202,1.03,0.00,0.00,0.00,Received 0.002202 ALGO from Coinbase Rewards
2021-03-06T11:08:27Z,Rewards Income,ALGO,0.002203,1.04,0.00,0.00,0.00,Received 0.002203 ALGO from Coinbase Rewards
2021-03-07T13:36:38Z,Rewards Income,ALGO,0.002203,1.12,0.00,0.00,0.00,Received 0.002203 ALGO from Coinbase Rewards
2021-03-08T12:54:00Z,Rewards Income,ALGO,0.002203,1.08,0.00,0.00,0.00,Received 0.002203 ALGO from Coinbase Rewards
2021-03-09T12:59:59Z,Rewards Income,ALGO,0.002204,1.13,0.00,0.00,0.00,Received 0.002204 ALGO from Coinbase Rewards
2021-03-11T13:57:40Z,Rewards Income,ALGO,0.002204,1.11,0.00,0.00,0.00,Received 0.002204 ALGO from Coinbase Rewards
2021-03-12T14:08:16Z,Rewards Income,ALGO,0.002205,1.07,0.00,0.00,0.00,Received 0.002205 ALGO from Coinbase Rewards
2021-03-13T12:27:51Z,Rewards Income,ALGO,0.002205,1.11,0.00,0.00,0.00,Received 0.002205 ALGO from Coinbase Rewards
2021-03-14T10:46:19Z,Rewards Income,ALGO,0.002205,1.12,0.00,0.00,0.00,Received 0.002205 ALGO from Coinbase Rewards
2021-03-15T11:18:21Z,Rewards Income,ALGO,0.002206,1.28,0.00,0.00,0.00,Received 0.002206 ALGO from Coinbase Rewards
2021-03-15T22:44:28Z,Rewards Income,ALGO,0.002204,1.23,0.00,0.00,0.00,Received 0.002204 ALGO from Coinbase Rewards
2021-03-16T12:48:51Z,Rewards Income,ALGO,0.002206,1.17,0.00,0.00,0.00,Received 0.002206 ALGO from Coinbase Rewards
2021-03-17T11:50:43Z,Rewards Income,ALGO,0.002207,1.19,0.00,0.00,0.00,Received 0.002207 ALGO from Coinbase Rewards
2021-03-18T11:54:54Z,Rewards Income,ALGO,0.002207,1.31,0.00,0.00,0.00,Received 0.002207 ALGO from Coinbase Rewards
2021-03-19T12:19:16Z,Rewards Income,ALGO,0.002207,1.29,0.00,0.00,0.00,Received 0.002207 ALGO from Coinbase Rewards
2021-03-20T11:46:42Z,Rewards Income,ALGO,0.002208,1.29,0.00,0.00,0.00,Received 0.002208 ALGO from Coinbase Rewards
2021-03-21T10:35:57Z,Rewards Income,ALGO,0.002208,1.19,0.00,0.00,0.00,Received 0.002208 ALGO from Coinbase Rewards
2021-03-22T13:23:05Z,Rewards Income,ALGO,0.002208,1.20,0.00,0.00,0.00,Received 0.002208 ALGO from Coinbase Rewards
2021-03-23T10:37:33Z,Rewards Income,ALGO,0.002209,1.11,0.00,0.00,0.00,Received 0.002209 ALGO from Coinbase Rewards
2021-03-24T13:57:37Z,Rewards Income,ALGO,0.002209,1.16,0.00,0.00,0.00,Received 0.002209 ALGO from Coinbase Rewards
2021-03-25T13:55:47Z,Rewards Income,ALGO,0.002209,1.03,0.00,0.00,0.00,Received 0.002209 ALGO from Coinbase Rewards
2021-03-26T13:47:44Z,Rewards Income,ALGO,0.00221,1.11,0.00,0.00,0.00,Received 0.00221 ALGO from Coinbase Rewards
