


Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 12/30/2016, REINVESTMENT, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,5.67,1,,,,-5.67,
 12/30/2016, DIVIDEND RECEIVED, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,5.67,
 12/30/2016, DIVIDEND RECEIVED, INXX, COLUMBIA ETF TR II INDIA INFRSR ETF,Cash,,,,,,158.69,
 11/30/2016, REINVESTMENT, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,3.69,1,,,,-3.69,
 11/30/2016, DIVIDEND RECEIVED, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,3.69,
 11/10/2016, DIVIDEND RECEIVED, AAPL, APPLE INC,Cash,,,,,,279.3,
 10/31/2016, REINVESTMENT, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,4.16,1,,,,-4.16,
 10/31/2016, DIVIDEND RECEIVED, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,4.16,
 10/31/2016, DIVIDEND RECEIVED, NLY, ANNALY CAPITAL MANAGEMENT INC COM,Cash,,,,,,132.07,
 10/19/2016, NAME CHANGED         N/C TO     19762B806#REOR M0051014950000, 268461845, EGA EMERGING GLOBAL SHS TR EGSHARES,Cash,-500,,,,,,
 10/19/2016, NAME CHANGED         N/C FROM   268461845#REOR M0051014950001, INXX, COLUMBIA ETF TR II INDIA INFRSR ETF,Cash,500,,,,,,





"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE."

"Date downloaded" 01/02/2017, 9:43 AM
