


Brokerage

Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 08/23/2022, YOU SOLD OPENING TRANSACTION CALL (TSLA) TESLA INC COM SEP 23 22 $1075 (100 SHS) (Cash), -TSLA220923C1075, CALL (TSLA) TESLA INC COM SEP 23 22 $1075 (100 SHS),Cash,-1,7.9,0.65,0.05,,789.3,08/24/2022
 08/22/2022, ASSIGNED as of 08/19/2022 PUT (TSLA) TESLA INC COM AUG 19 22 $900 (100 SHS) (Cash), -TSLA220819P900, PUT (TSLA) TESLA INC COM AUG 19 22 $900 (100 SHS),Cash,1,,,,,,
 08/22/2022, YOU BOUGHT ASSIGNED PUTS WITH DUE BILLS AS OF 08-19-22 TESLA INC COM (TSLA) (Cash), TSLA, TESLA INC COM,Cash,100,900,,,,-90000,08/23/2022
 08/15/2022, YOU BOUGHT CLOSING TRANSACTION PUT (TSLA) TESLA INC COM AUG 19 22 $820 (100 SHS) (Cash), -TSLA220819P820, PUT (TSLA) TESLA INC COM AUG 19 22 $820 (100 SHS),Cash,1,1.01,0.65,0.03,,-101.68,08/16/2022
 08/15/2022, YOU SOLD OPENING TRANSACTION PUT (TSLA) TESLA INC COM AUG 19 22 $900 (100 SHS) (Cash), -TSLA220819P900, PUT (TSLA) TESLA INC COM AUG 19 22 $900 (100 SHS),Cash,-1,10.74,0.65,0.06,,1073.29,08/16/2022
 08/11/2022, YOU SOLD OPENING TRANSACTION PUT (COIN) COINBASE GLOBAL INC SEP 02 22 $62 (100 SHS) (Cash), -COIN220902P62, PUT (COIN) COINBASE GLOBAL INC SEP 02 22 $62 (100 SHS),Cash,-5,1.8,3.25,0.18,,896.57,08/12/2022
 08/10/2022, YOU SOLD OPENING TRANSACTION CALL (ARKG) ARK ETF TR GENOMIC SEP 02 22 $45 (100 SHS) (Cash), -ARKG220902C45, CALL (ARKG) ARK ETF TR GENOMIC SEP 02 22 $45 (100 SHS),Cash,-5,0.55,3.25,0.16,,271.59,08/11/2022
 08/09/2022, YOU SOLD OPENING TRANSACTION PUT (TSLA) TESLA INC COM SEP 02 22 $770 (100 SHS) (Cash), -TSLA220902P770, PUT (TSLA) TESLA INC COM SEP 02 22 $770 (100 SHS),Cash,-1,20.6,0.65,0.08,,2059.27,08/10/2022
 08/08/2022, EXPIRED CALL (ARKG) ARK ETF TR GENOMIC AUG 05 22 $42 as of 08/05/2022 CALL (ARKG) ARK ETF TR GENOMIC AUG 05 22 $42 (100 SHS) (Cash), -ARKG220805C42, CALL (ARKG) ARK ETF TR GENOMIC AUG 05 22 $42 (100 SHS),Cash,7,,,,,,
 08/05/2022, ASSIGNED as of 08/04/2022 CALL (AAPL) APPLE INC AUG 05 22 $155 (100 SHS) (Cash), -AAPL220805C155, CALL (AAPL) APPLE INC AUG 05 22 $155 (100 SHS),Cash,10,,,,,,
