


Brokerage

Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 06/30/2022, REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,436.22,1,,,,-436.22,
 06/30/2022, DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,436.22,
 06/30/2022, YOU SOLD OPENING TRANSACTION PUT (ABNB) AIRBNB INC COM CL A AUG 19 22 $75 (100 SHS) (Cash), -ABNB220819P75, PUT (ABNB) AIRBNB INC COM CL A AUG 19 22 $75 (100 SHS),Cash,-4,4,2.6,0.16,,1597.24,07/01/2022
 06/30/2022, YOU SOLD OPENING TRANSACTION PUT (NVDA) NVIDIA CORPORATION AUG 19 22 $125 (100 SHS) (Cash), -NVDA220819P125, PUT (NVDA) NVIDIA CORPORATION AUG 19 22 $125 (100 SHS),Cash,-3,3.6,1.95,0.12,,1077.93,07/01/2022
 06/30/2022, YOU BOUGHT CLOSING TRANSACTION CALL (AMD) ADVANCED MICRO JUL 15 22 $95 (100 SHS) (Cash), -AMD220715C95, CALL (AMD) ADVANCED MICRO JUL 15 22 $95 (100 SHS),Cash,2,0.14,,0.06,,-28.06,07/01/2022
 06/29/2022, DIVIDEND RECEIVED DIREXION DAILY FINANCIAL BULL 3X SHARES (FAS) (Cash), FAS, DIREXION DAILY FINANCIAL BULL 3X SHARES,Cash,,,,,,60.84,
 06/29/2022, YOU SOLD OPENING TRANSACTION PUT (AMD) ADVANCED MICRO JUL 22 22 $65 (100 SHS) (Cash), -AMD220722P65, PUT (AMD) ADVANCED MICRO JUL 22 22 $65 (100 SHS),Cash,-4,0.92,2.6,0.13,,365.27,06/30/2022
 06/28/2022, YOU BOUGHT CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION JUL 29 22 $150 (100 SHS) (Cash), -NVDA220729P150, PUT (NVDA) NVIDIA CORPORATION JUL 29 22 $150 (100 SHS),Cash,2,6.25,1.3,0.06,,-1251.36,06/29/2022
 06/28/2022, YOU SOLD OPENING TRANSACTION CALL (AAPL) APPLE INC JUL 29 22 $155 (100 SHS) (Cash), -AAPL220729C155, CALL (AAPL) APPLE INC JUL 29 22 $155 (100 SHS),Cash,-10,0.94,6.5,0.32,,933.18,06/29/2022
 06/28/2022, YOU BOUGHT CLOSING TRANSACTION PUT (AMD) ADVANCED MICRO JUL 22 22 $75 (100 SHS) (Cash), -AMD220722P75, PUT (AMD) ADVANCED MICRO JUL 22 22 $75 (100 SHS),Cash,4,2.47,2.6,0.12,,-990.72,06/29/2022
 06/28/2022, YOU BOUGHT CLOSING TRANSACTION PUT (RUN) SUNRUN INC COM JUL 15 22 $22.5 (100 SHS) (Cash), -RUN220715P22.5, PUT (RUN) SUNRUN INC COM JUL 15 22 $22.5 (100 SHS),Cash,10,0.9,6.5,0.29,,-906.79,06/29/2022
 06/28/2022, YOU BOUGHT CLOSING TRANSACTION PUT (SQ) BLOCK INC CL A JUL 15 22 $70 (100 SHS) (Cash), -SQ220715P70, PUT (SQ) BLOCK INC CL A JUL 15 22 $70 (100 SHS),Cash,3,6.75,1.95,0.09,,-2027.04,06/29/2022
 06/28/2022, YOU BOUGHT CLOSING TRANSACTION PUT (AMD) ADVANCED MICRO JUL 15 22 $75 (100 SHS) (Cash), -AMD220715P75, PUT (AMD) ADVANCED MICRO JUL 15 22 $75 (100 SHS),Cash,4,1.82,2.6,0.12,,-730.72,06/29/2022
 06/28/2022, YOU SOLD ALPHABET INC CAP STK CL A (GOOGL) (Cash), GOOGL, ALPHABET INC CAP STK CL A,Cash,-10,2260,,0.52,,22599.48,06/30/2022
 06/27/2022, EXPIRED CALL (AAPL) APPLE INC JUN 24 22 $165 as of 06/24/2022 CALL (AAPL) APPLE INC JUN 24 22 $165 (100 SHS) (Cash), -AAPL220624C165, CALL (AAPL) APPLE INC JUN 24 22 $165 (100 SHS),Cash,10,,,,,,
 06/24/2022, YOU SOLD OPENING TRANSACTION CALL (JETS) ETF SER SOLUTIONS US JUL 15 22 $18.5 (100 SHS) (Cash), -JETS220715C18.5, CALL (JETS) ETF SER SOLUTIONS US JUL 15 22 $18.5 (100 SHS),Cash,-10,0.3,6.5,0.30,,293.2,06/27/2022
 06/24/2022, YOU SOLD OPENING TRANSACTION CALL (XBI) SPDR SER TR S&P JUL 29 22 $90 (100 SHS) (Cash), -XBI220729C90, CALL (XBI) SPDR SER TR S&P JUL 29 22 $90 (100 SHS),Cash,-6,0.75,3.9,0.19,,445.91,06/27/2022
 06/24/2022, YOU BOUGHT CLOSING TRANSACTION CALL (XBI) SPDR SER TR S&P JUN 24 22 $79 (100 SHS) (Cash), -XBI220624C79, CALL (XBI) SPDR SER TR S&P JUN 24 22 $79 (100 SHS),Cash,6,0.02,,0.17,,-12.17,06/27/2022
