


Brokerage

Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 06/30/2021, DIVIDEND RECEIVED INDIA FUND INC (IFN) (Margin), IFN, INDIA FUND INC,Margin,,,,,,174,
 06/30/2021, REINVESTMENT CASH (315994103) (Cash), 315994103, CASH,Cash,0.93,1,,,,-0.93,
 06/30/2021, INTEREST EARNED CASH (315994103) (Cash), 315994103, CASH,Cash,,,,,,0.93,
 06/25/2021, YOU SOLD OPENING TRANSACTION CALL (BA) BOEING CO COM SEP 17 21 $300 (100 SHS) (Margin), -BA210917C300, CALL (BA) BOEING CO COM SEP 17 21 $300 (100 SHS),Margin,-1,2.62,0.59,0.04,,261.37,06/28/2021
 06/23/2021, YOU SOLD AT&T INC COM USD1 (T) (Margin), T, AT&T INC COM USD1,Margin,-1000,28.8,,0.15,,28799.85,06/25/2021
 06/21/2021, EXPIRED CALL (T) AT&T INC COM USD1 as of 06/18/2021 CALL (T) AT&T INC COM USD1 JUN 18 21 $32 (100 SHS) (Margin), -T210618C32, CALL (T) AT&T INC COM USD1 JUN 18 21 $32 (100 SHS),Margin,10,,,,,,
 06/21/2021, EXPIRED CALL (BA) BOEING CO COM as of 06/18/2021 CALL (BA) BOEING CO COM JUN 18 21 $305 (100 SHS) (Margin), -BA210618C305, CALL (BA) BOEING CO COM JUN 18 21 $305 (100 SHS),Margin,1,,,,,,
 06/18/2021, FEE CHARGED BP PLC SPONSORED ADR (BP) (Margin), BP, BP PLC SPONSORED ADR,Margin,,,,,,-7.5,
 06/18/2021, DIVIDEND RECEIVED BP PLC SPONSORED ADR (BP) (Margin), BP, BP PLC SPONSORED ADR,Margin,,,,,,472.5,
 06/18/2021, YOU SOLD OPENING TRANSACTION PUT (RUN) SUNRUN INC COM AUG 20 21 $45 (100 SHS) (Cash), -RUN210820P45, PUT (RUN) SUNRUN INC COM AUG 20 21 $45 (100 SHS),Cash,-4,3.2,2.34,0.15,,1277.51,06/21/2021
 06/17/2021, YOU SOLD OPENING TRANSACTION PUT (COIN) COINBASE GLOBAL INC AUG 20 21 $210 (100 SHS) (Cash), -COIN210820P210, PUT (COIN) COINBASE GLOBAL INC AUG 20 21 $210 (100 SHS),Cash,-1,11.8,0.59,0.04,,1179.37,06/18/2021
 06/15/2021, YOU SOLD OPENING TRANSACTION PUT (SOFI) SOFI TECHNOLOGIES AUG 20 21 $15 (100 SHS) (Cash), -SOFI210820P15, PUT (SOFI) SOFI TECHNOLOGIES AUG 20 21 $15 (100 SHS),Cash,-10,0.8,5.85,0.36,,793.79,06/16/2021
 06/10/2021, DIVIDEND RECEIVED INTERNATIONAL BUS MACH CORP COM USD0.20 (IBM) (Margin), IBM, INTERNATIONAL BUS MACH CORP COM USD0.20,Margin,,,,,,492,
 06/03/2021, YOU BOUGHT STRATASYS LTD (SSYS) (Margin), SSYS, STRATASYS LTD,Margin,500,23.15,,,,-11575,06/07/2021
 06/01/2021, MERGER MER FROM G8252P105#REOR M0051330710001 SOFI TECHNOLOGIES INC COM (SOFI) (Margin), SOFI, SOFI TECHNOLOGIES INC COM,Margin,1000,,,,,,
 06/01/2021, DISTRIBUTION NAME/SYM/CUSIP CHG CALL (SOFI) SOFI TECHNOLOGIES JUL 16 21 $20 (100 SHS) (Margin), -SOFI210716C20, CALL (SOFI) SOFI TECHNOLOGIES JUL 16 21 $20 (100 SHS),Margin,-10,,,,,,
 06/01/2021, DISTRIBUTION NAME/SYM/CUSIP CHG SOFT210716C20 (Margin), -SOFT210716C20, CALL (IPOE) SOCIAL CAP JUL 16 21 $20 (100 SHS),Margin,10,,,,,,
 06/01/2021, MERGER MER PAYOUT #REOR M0051330710000 SOCIAL CAP HEDOSOPHIA HLDGS CORP V COM (G8252P105) (Margin), G8252P105, SOCIAL CAP HEDOSOPHIA HLDGS CORP V COM ,Margin,-1000,,,,,,
 05/28/2021, REINVESTMENT CASH (315994103) (Cash), 315994103, CASH,Cash,1.13,1,,,,-1.13,
 05/28/2021, DIVIDEND RECEIVED CITIGROUP INC (C) (Margin), C, CITIGROUP INC,Margin,,,,,,357,
 05/28/2021, INTEREST EARNED CASH (315994103) (Cash), 315994103, CASH,Cash,,,,,,1.13,
 05/26/2021, YOU BOUGHT SUNNOVA ENERGY INTL INC. COM (NOVA) (Margin), NOVA, SUNNOVA ENERGY INTL INC. COM,Margin,400,28.95,,,,-11580,05/28/2021
 05/25/2021, YOU SOLD OPENING TRANSACTION CALL (DDD) 3 D SYSTEMS INC COM AUG 20 21 $42 (100 SHS) (Margin), -DDD210820C42, CALL (DDD) 3 D SYSTEMS INC COM AUG 20 21 $42 (100 SHS),Margin,-5,1.16,2.93,0.18,,576.89,05/26/2021
 05/24/2021, EXPIRED CALL (DDD) 3 D SYSTEMS INC COM as of 05/21/2021 CALL (DDD) 3 D SYSTEMS INC COM MAY 21 21 $70 (100 SHS) (Margin), -DDD210521C70, CALL (DDD) 3 D SYSTEMS INC COM MAY 21 21 $70 (100 SHS),Margin,5,,,,,,
 05/19/2021, YOU SOLD PROSHARES TR II ULTRA VIX SHORT 1 FOR 1 (74347W148) (Margin), 74347W148, PROSHARES TR II ULTRA VIX SHORT 1 FOR 1,Margin,-1200,5.2,,0.04,,6239.96,05/21/2021
 05/14/2021, YOU SOLD OPENING TRANSACTION 5088879WQ (Margin), -SOFT210716C20, CALL (IPOE) SOCIAL CAP JUL 16 21 $20 (100 SHS),Margin,-10,0.78,5.85,0.36,,773.79,05/17/2021
 05/14/2021, YOU BOUGHT INTERNATIONAL BUS MACH CORP COM USD0.20 (IBM) (Margin), IBM, INTERNATIONAL BUS MACH CORP COM USD0.20,Margin,100,144.8,,,,-14480,05/18/2021
 05/14/2021, CONTRIBUTED TO FIDELITY CHARITABLE Â® (Cash), , No Description,Cash,,,,,,-3000,
 05/12/2021, YOU SOLD OPENING TRANSACTION PUT (ABNB) AIRBNB INC COM CL A JUL 16 21 $115 (100 SHS) (Cash), -ABNB210716P115, PUT (ABNB) AIRBNB INC COM CL A JUL 16 21 $115 (100 SHS),Cash,-2,4.25,1.17,0.08,,848.75,05/13/2021
 05/10/2021, YOU SOLD PROSHARES ULTRAPRO SHORT QQQ (SQQQ) (Margin), SQQQ, PROSHARES ULTRAPRO SHORT QQQ,Margin,-200,12,,0.02,,2400.38,05/12/2021
 05/10/2021, YOU SOLD OPENING TRANSACTION PUT (PRLB) PROTO LABS INC COM JUL 16 21 $85 (100 SHS) (Cash), -PRLB210716P85, PUT (PRLB) PROTO LABS INC COM JUL 16 21 $85 (100 SHS),Cash,-2,3.86,1.17,0.08,,770.75,05/11/2021
 05/05/2021, YOU SOLD OPENING TRANSACTION CALL (BP) BP PLC SPONSORED ADR JUL 16 21 $33 (100 SHS) (Margin), -BP210716C33, CALL (BP) BP PLC SPONSORED ADR JUL 16 21 $33 (100 SHS),Margin,-15,0.13,8.78,0.53,,185.69,05/06/2021
 05/04/2021, YOU BOUGHT SUNRUN INC COM (RUN) (Margin), RUN, SUNRUN INC COM,Margin,200,43.17,,,,-8634,05/06/2021
 05/03/2021, DIVIDEND RECEIVED AT&T INC COM USD1 (T) (Margin), T, AT&T INC COM USD1,Margin,,,,,,520,
 04/30/2021, REINVESTMENT CASH (315994103) (Cash), 315994103, CASH,Cash,1.18,1,,,,-1.18,
 04/30/2021, INTEREST EARNED CASH (315994103) (Cash), 315994103, CASH,Cash,,,,,,1.18,
 04/29/2021, YOU SOLD OPENING TRANSACTION CALL (IBM) INTERNATIONAL BUS JUL 16 21 $165 (100 SHS) (Margin), -IBM210716C165, CALL (IBM) INTERNATIONAL BUS JUL 16 21 $165 (100 SHS),Margin,-3,0.46,1.76,0.11,,136.13,04/30/2021
 04/27/2021, YOU SOLD OPENING TRANSACTION CALL (C) CITIGROUP INC JUL 16 21 $90 (100 SHS) (Margin), -C210716C90, CALL (C) CITIGROUP INC JUL 16 21 $90 (100 SHS),Margin,-7,0.3,4.1,0.25,,205.65,04/28/2021
 04/19/2021, EXPIRED CALL (IBM) INTERNATIONAL BUS as of 04/16/2021 CALL (IBM) INTERNATIONAL BUS APR 16 21 $145 (100 SHS) (Margin), -IBM210416C145, CALL (IBM) INTERNATIONAL BUS APR 16 21 $145 (100 SHS),Margin,3,,,,,,
 04/16/2021, YOU SOLD OPENING TRANSACTION CALL (T) AT&T INC COM USD1 JUN 18 21 $32 (100 SHS) (Margin), -T210618C32, CALL (T) AT&T INC COM USD1 JUN 18 21 $32 (100 SHS),Margin,-1,0.25,0.58,0.04,,24.38,04/19/2021
 04/16/2021, YOU SOLD OPENING TRANSACTION CALL (T) AT&T INC COM USD1 JUN 18 21 $32 (100 SHS) (Margin), -T210618C32, CALL (T) AT&T INC COM USD1 JUN 18 21 $32 (100 SHS),Margin,-9,0.25,5.27,0.32,,219.41,04/19/2021
 04/14/2021, YOU SOLD OPENING TRANSACTION CALL (BA) BOEING CO COM JUN 18 21 $305 (100 SHS) (Margin), -BA210618C305, CALL (BA) BOEING CO COM JUN 18 21 $305 (100 SHS),Margin,-1,3,0.59,0.04,,299.37,04/15/2021
 04/12/2021, YOU BOUGHT PROSHARES TR II ULTRA VIX SHORT 1 FOR 1 (74347W148) (Margin), 74347W148, PROSHARES TR II ULTRA VIX SHORT 1 FOR 1,Margin,1000,4.8,,,,-4800,04/14/2021
