date,beg_balance,pnl,dividend,fees,deposit,withdraw,end_balance
"Oct 2014","59,866.69","+373.34","0.00","0.00","0.00","0.00","60,240.03"
"Sep 2014","60,238.96","-525.99","0.00","0.00","153.72","0.00","59,866.69"
"Aug 2014","59,664.27","+523.57","0.00","0.00","51.12","0.00","60,238.96"
"Jul 2014","60,001.40","-337.13","0.00","0.00","0.00","0.00","59,664.27"
"Jun 2014","59,664.27","+337.13","0.00","0.00","0.00","0.00","60,001.40"
"May 2014","59,083.22","+505.37","0.00","0.00","75.68","0.00","59,664.27"
"Apr 2014","58,948.71","+134.51","0.00","0.00","0.00","0.00","59,083.22"
"Mar 2014","59,063.49","-168.23","0.00","0.00","53.45","0.00","58,948.71"
"Feb 2014","57,585.22","+1,478.27","0.00","0.00","0.00","0.00","59,063.49"
"Jan 2014","57,954.79","-369.57","0.00","0.00","0.00","0.00","57,585.22"
"Dec 2013","57,484.43","+470.36","0.00","0.00","0.00","0.00","57,954.79"
"Nov 2013","57,011.41","+403.37","0.00","0.00","69.65","0.00","57,484.43"
"Oct 2013","55,971.17","+1,040.24","0.00","0.00","0.00","0.00","57,011.41"
"Sep 2013","54,548.18","+1,341.88","0.00","0.00","81.11","0.00","55,971.17"
"Aug 2013","55,251.81","-703.63","0.00","0.00","0.00","0.00","54,548.18"
"Jul 2013","53,824.44","+1,373.56","0.00","0.00","53.81","0.00","55,251.81"
"Jun 2013","54,689.44","-970.59","0.00","0.00","105.59","0.00","53,824.44"
"May 2013","54,769.79","-133.80","0.00","0.00","53.45","0.00","54,689.44"
"Apr 2013","53,902.73","+801.02","0.00","0.00","66.04","0.00","54,769.79"
"Mar 2013","53,102.69","+800.04","0.00","0.00","0.00","0.00","53,902.73"
"Feb 2013","52,969.35","+133.34","0.00","0.00","0.00","0.00","53,102.69"
"Jan 2013","51,910.13","+999.52","0.00","0.00","59.70","0.00","52,969.35"
"Dec 2012","51,485.52","+366.31","0.00","0.00","58.30","0.00","51,910.13"
"Nov 2012","51,086.41","+399.11","0.00","0.00","0.00","0.00","51,485.52"
"Oct 2012","51,385.74","-299.33","0.00","0.00","0.00","0.00","51,086.41"
"Sep 2012","50,500.07","+798.28","0.00","0.00","87.39","0.00","51,385.74"
"Aug 2012","49,709.78","+730.16","0.00","0.00","60.13","0.00","50,500.07"
"Jul 2012","49,046.54","+663.24","0.00","0.00","0.00","0.00","49,709.78"
"Jun 2012","47,898.32","+1,062.03","0.00","0.00","86.19","0.00","49,046.54"
"May 2012","49,851.33","-1,953.01","0.00","0.00","0.00","0.00","47,898.32"
"Apr 2012","49,788.00","-0.17","0.00","0.00","63.50","0.00","49,851.33"
"Mar 2012","49,424.34","+363.66","0.00","0.00","0.00","0.00","49,788.00"
"Feb 2012","48,019.15","+1,354.56","0.00","0.00","50.63","0.00","49,424.34"
"Jan 2012","46,268.80","+1,750.35","0.00","0.00","0.00","0.00","48,019.15"
"Dec 2011","46,185.17","-33.84","0.00","0.00","117.47","0.00","46,268.80"
"Nov 2011","46,679.31","-494.14","0.00","0.00","0.00","0.00","46,185.17"
"Oct 2011","43,747.44","+2,931.87","0.00","0.00","0.00","0.00","46,679.31"
"Sep 2011","46,547.54","-2,800.10","0.00","0.00","0.00","0.00","43,747.44"
"Aug 2011","48,622.91","-2,075.37","0.00","0.00","0.00","0.00","46,547.54"
"Jul 2011","48,795.43","-231.07","0.00","0.00","58.55","0.00","48,622.91"
"Jun 2011","49,368.04","-624.40","0.00","0.00","51.79","0.00","48,795.43"
"May 2011","49,861.06","-493.02","0.00","0.00","0.00","0.00","49,368.04"
"Apr 2011","48,446.69","+1,347.14","0.00","0.00","67.23","0.00","49,861.06"
"Mar 2011","48,249.75","+196.94","0.00","0.00","0.00","0.00","48,446.69"
"Feb 2011","47,363.53","+886.22","0.00","0.00","0.00","0.00","48,249.75"
"Jan 2011","46,739.90","+623.63","0.00","0.00","0.00","0.00","47,363.53"
"Dec 2010","44,709.76","+1,866.59","0.00","0.00","163.55","0.00","46,739.90"
"Nov 2010","44,971.41","-261.65","0.00","0.00","0.00","0.00","44,709.76"
"Oct 2010","43,761.27","+1,210.14","0.00","0.00","0.00","0.00","44,971.41"
"Sep 2010","41,111.69","+2,581.72","0.00","0.00","67.86","0.00","43,761.27"
"Aug 2010","42,221.93","-1,110.24","0.00","0.00","0.00","0.00","41,111.69"
"Jul 2010","40,230.02","+1,991.91","0.00","0.00","0.00","0.00","42,221.93"
"Jun 2010","41,300.26","-1,143.42","0.00","0.00","73.18","0.00","40,230.02"
"May 2010","43,522.57","-2,281.20","0.00","0.00","58.89","0.00","41,300.26"
