


Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 06/28/2019, REINVESTMENT, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,101,1,,,,-101,
 06/28/2019, DIVIDEND RECEIVED, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,101,
 06/17/2019, DIVIDEND RECEIVED, CWEN, CLEARWAY ENERGY INC CL C,Cash,,,,,,40,
 06/17/2019, DIVIDEND RECEIVED, CWENA, CLEARWAY ENERGY INC CL A,Cash,,,,,,40,
 06/11/2019, FEE CHARGED, SIFY, SIFY TECHNOLOGIES LIMITED SPON ADS EACH,Cash,,,,,,-10.5,
 05/31/2019, REINVESTMENT, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,109.65,1,,,,-109.65,
 05/31/2019, DIVIDEND RECEIVED, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,109.65,
 05/16/2019, DIVIDEND RECEIVED, AAPL, APPLE INC COM USD0.00001,Cash,,,,,,231,
 05/03/2019, YOU BOUGHT, T, AT&T INC COM USD1,Cash,300,30.73, 4.95,,,-9222.45, 05/07/2019
 04/30/2019, REINVESTMENT, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,125.59,1,,,,-125.59, 
 04/30/2019, DIVIDEND RECEIVED, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,125.59, 
 04/23/2019, YOU BOUGHT, T, AT&T INC COM USD1,Cash,300,32.19, 4.95,,,-9660.48, 04/25/2019
 04/11/2019, YOU SOLD, IBM, INTERNATIONAL BUS MACH CORP COM USD0.20,Cash,-50,143.45, 4.95,0.1,,7167.65, 04/15/2019





"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE."

"Date downloaded" 09/07/2019, 6:06 PM
