Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 09/30/2020, REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,0.33,1,,,,-0.33,
 09/30/2020, DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,0.33,
 09/21/2020, YOU BOUGHT AT&T INC COM USD1 (T) (Cash), T, AT&T INC COM USD1,Cash,400,28.5,,,,-11398,09/23/2020
 08/31/2020, REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,0.37,1,,,,-0.37,
 08/31/2020, DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,0.37,
 08/31/2020, DISTRIBUTION TESLA INC COM (TSLA) (Cash), TSLA, TESLA INC COM,Cash,360,,,,,,
 08/31/2020, DISTRIBUTION APPLE INC COM USD0.00001 (AAPL) (Cash), AAPL, APPLE INC COM USD0.00001,Cash,900,,,,,,
 08/13/2020, DIVIDEND RECEIVED APPLE INC COM USD0.00001 (AAPL) (Cash), AAPL, APPLE INC COM USD0.00001,Cash,,,,,,246,
 08/03/2020, DIVIDEND RECEIVED AT&T INC COM USD1 (T) (Cash), T, AT&T INC COM USD1,Cash,,,,,,312,
 07/31/2020, REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,0.4,1,,,,-0.4,
 07/31/2020, DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash), FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,,,,,,0.4,
 07/31/2020, YOU BOUGHT TESLA INC COM (TSLA) (Cash), TSLA, TESLA INC COM,Cash,5,1422.97,,,,-7114.83,08/04/2020
 07/23/2020, YOU SOLD NIKOLA CORP COM (NKLA) (Cash), NKLA, NIKOLA CORP COM,Cash,-100,35.25,,0.08,,3524.92,07/27/2020
