"Date","Investment","Transaction Type","Amount","Shares/Unit"
"07/30/2021","FIMM MMKT INST","Dividends and Interest",0.96,0.96
"07/29/2021","FID SEL LEISURE","Exchanges",20000,1031.459
"07/29/2021","FIMM MMKT INST","Exchanges",-20000,-20000
"07/28/2021","FID SEL AIR TRANSPRT","REVENUE CREDIT",54.61,0.788
"07/28/2021","FID SEL BIOTECH","REVENUE CREDIT",171.22,7.599
"07/28/2021","FID SEL LEISURE","REVENUE CREDIT",64.36,3.341
"07/28/2021","FID SEL MED TECH&DV","REVENUE CREDIT",120.29,1.462
"07/28/2021","FID SEL BANKING","REVENUE CREDIT",138.45,4.986
"07/28/2021","FID SEL CONSTR/HOUSE","REVENUE CREDIT",115.59,1.262
"07/28/2021","FID ENV ALT ENERGY","REVENUE CREDIT",38.18,1.115
"07/28/2021","FIMM MMKT INST","Contributions",1006.34,1006.34
"07/28/2021","FIMM MMKT INST","REVENUE CREDIT",29.12,29.12
"07/28/2021","FID DIVIDEND GR K","REVENUE CREDIT",69.02,1.884
"07/28/2021","FID INFRASTRUCTURE","REVENUE CREDIT",30.67,2.496
"07/28/2021","FID DISRUPT AUTOMTN","Contributions",782.7,41.304
"07/28/2021","FID DISRUPT AUTOMTN","REVENUE CREDIT",82.63,4.36
"07/27/2021","FID SEL BIOTECH","Exchanges",30000,1371.115
"07/27/2021","FIMM MMKT INST","Exchanges",-30000,-30000
"07/26/2021","FIMM MMKT INST","Exchanges",162632.47,162632.47
"07/26/2021","FA CHINA REGION Z","Change in Market Value",26307.48,0
"07/26/2021","FA CHINA REGION Z","Exchanges",-162632.47,-3129.353
"07/19/2021","FID SEL AIR TRANSPRT","Exchanges",15000,228.797
"07/19/2021","FIMM MMKT INST","Exchanges",-15000,-15000
"07/14/2021","FIMM MMKT INST","Contributions",1006.34,1006.34
"07/14/2021","FID DISRUPT AUTOMTN","Contributions",782.7,41.044
"07/09/2021","FID DISRUPT AUTOMTN","Dividends and Interest",216.06,11.39
