date,beg_balance,pnl,dividend,fees,deposit,withdraw,end_balance
"Oct 2014","128,352.22","+6,587.50","0.14","0.00","0.00","0.00","134,939.86"
"Sep 2014","130,952.58","-2,600.50","0.14","0.00","0.00","0.00","128,352.22"
"Aug 2014","122,480.55","+7,969.05","505.29","-2.31","0.00","0.00","130,952.58"
"Jul 2014","119,844.87","+2,635.50","0.18","0.00","0.00","0.00","122,480.55"
"Jun 2014","117,116.70","+2,745.50","0.17","-17.50","0.00","0.00","119,844.87"
"May 2014","110,081.53","+6,541.50","493.67","0.00","0.00","0.00","117,116.70"
"Apr 2014","102,190.86","+7,890.50","0.17","0.00","0.00","0.00","110,081.53"
"Mar 2014","94,045.71","+1,645.00","0.15","0.00","6,500.00","0.00","102,190.86"
"Feb 2014","89,714.11","+3,874.00","457.60","0.00","0.00","0.00","94,045.71"
"Jan 2014","98,903.00","-9,189.00","0.11","0.00","0.00","0.00","89,714.11"
"Dec 2013","98,027.39","+875.50","0.11","0.00","0.00","0.00","98,903.00"
"Nov 2013","92,578.58","+4,991.20","457.61","0.00","0.00","0.00","98,027.39"
"Oct 2013","85,587.67","+6,990.80","0.11","0.00","0.00","0.00","92,578.58"
"Sep 2013","87,136.46","-1,548.90","0.11","0.00","0.00","0.00","85,587.67"
"Aug 2013","81,552.95","+5,125.90","457.61","0.00","0.00","0.00","87,136.46"
"Jul 2013","73,054.85","+8,498.00","0.10","0.00","0.00","0.00","81,552.95"
"Jun 2013","81,207.00","-8,134.75","0.10","-17.50","0.00","0.00","73,054.85"
"May 2013","79,615.15","+1,134.25","457.60","0.00","0.00","0.00","81,207.00"
"Apr 2013","79,681.05","-66.00","0.10","0.00","0.00","0.00","79,615.15"
"Mar 2013","74,491.96","+189.00","0.09","0.00","5,000.00","0.00","79,681.05"
"Feb 2013","76,305.91","-2,211.50","397.55","0.00","0.00","0.00","74,491.96"
"Jan 2013","87,696.30","-11,390.45","0.06","0.00","0.00","0.00","76,305.91"
"Dec 2012","95,704.29","-8,008.05","0.06","0.00","0.00","0.00","87,696.30"
"Nov 2012","96,946.49","-1,640.73","398.53","0.00","0.00","0.00","95,704.29"
"Oct 2012","107,589.52","-10,643.05","0.02","0.00","0.00","0.00","96,946.49"
"Sep 2012","106,884.27","+705.20","0.05","0.00","0.00","0.00","107,589.52"
"Aug 2012","98,480.41","+8,000.56","403.30","0.00","0.00","0.00","106,884.27"
"Jul 2012","94,962.96","+3,517.40","0.05","0.00","0.00","0.00","98,480.41"
"Jun 2012","93,613.62","+1,366.80","0.04","-17.50","0.00","0.00","94,962.96"
"May 2012","96,351.81","-2,770.50","32.31","0.00","0.00","0.00","93,613.62"
"Apr 2012","99,024.05","-2,672.30","0.06","0.00","0.00","0.00","96,351.81"
"Mar 2012","86,180.50","+7,843.45","0.10","0.00","5,000.00","0.00","99,024.05"
"Feb 2012","74,396.04","+11,783.40","1.06","0.00","0.00","0.00","86,180.50"
"Jan 2012","66,369.69","+8,026.20","0.15","0.00","0.00","0.00","74,396.04"
"Dec 2011","63,476.61","+2,893.00","0.08","0.00","0.00","0.00","66,369.69"
"Nov 2011","68,461.78","-4,986.20","1.03","0.00","0.00","0.00","63,476.61"
"Oct 2011","61,786.89","+6,674.88","0.01","0.00","0.00","0.00","68,461.78"
"Sep 2011","63,852.78","-2,065.90","0.01","0.00","0.00","0.00","61,786.89"
"Aug 2011","65,701.77","-1,850.00","1.01","0.00","0.00","0.00","63,852.78"
"Jul 2011","58,667.36","+7,034.40","0.01","0.00","0.00","0.00","65,701.77"
"Jun 2011","60,641.08","-1,974.75","1.03","0.00","0.00","0.00","58,667.36"
"May 2011","60,348.09","+292.96","0.03","0.00","0.00","0.00","60,641.08"
"Apr 2011","60,333.37","+14.67","0.05","0.00","0.00","0.00","60,348.09"
"Mar 2011","55,183.42","+149.86","0.09","0.00","5,000.00","0.00","60,333.37"
"Feb 2011","52,828.55","+2,354.81","0.06","0.00","0.00","0.00","55,183.42"
"Jan 2011","50,397.12","+2,431.20","0.23","0.00","0.00","0.00","52,828.55"
"Dec 2010","48,948.20","+1,433.64","15.28","0.00","0.00","0.00","50,397.12"
