date,beg_balance,pnl,dividend,fees,deposit,withdraw,end_balance
"Oct 2014","3,206.51","0.00","0.03","0.00","0.00","0.00","3,206.54"
"Sep 2014","3,206.48","0.00","0.03","0.00","0.00","0.00","3,206.51"
"Aug 2014","3,206.45","0.00","0.03","0.00","0.00","0.00","3,206.48"
"Jul 2014","3,206.42","0.00","0.03","0.00","0.00","0.00","3,206.45"
"Jun 2014","3,206.39","0.00","0.03","0.00","0.00","0.00","3,206.42"
"May 2014","3,206.36","0.00","0.03","0.00","0.00","0.00","3,206.39"
"Apr 2014","3,206.33","0.00","0.03","0.00","0.00","0.00","3,206.36"
"Mar 2014","3,206.30","0.00","0.03","0.00","0.00","0.00","3,206.33"
"Feb 2014","3,206.28","0.00","0.02","0.00","0.00","0.00","3,206.30"
"Jan 2014","3,206.25","0.00","0.03","0.00","0.00","0.00","3,206.28"
"Dec 2013","3,206.22","0.00","0.03","0.00","0.00","0.00","3,206.25"
"Nov 2013","3,206.19","0.00","0.03","0.00","0.00","0.00","3,206.22"
"Oct 2013","3,206.16","0.00","0.03","0.00","0.00","0.00","3,206.19"
"Sep 2013","3,206.13","0.00","0.03","0.00","0.00","0.00","3,206.16"
"Aug 2013","3,206.10","0.00","0.03","0.00","0.00","0.00","3,206.13"
"Jul 2013","3,206.07","0.00","0.03","0.00","0.00","0.00","3,206.10"
"Jun 2013","3,206.04","0.00","0.03","0.00","0.00","0.00","3,206.07"
"May 2013","3,206.01","0.00","0.03","0.00","0.00","0.00","3,206.04"
"Apr 2013","3,205.98","0.00","0.03","0.00","0.00","0.00","3,206.01"
"Mar 2013","3,205.95","0.00","0.03","0.00","0.00","0.00","3,205.98"
"Feb 2013","3,205.93","0.00","0.02","0.00","0.00","0.00","3,205.95"
"Jan 2013","3,205.90","0.00","0.03","0.00","0.00","0.00","3,205.93"
"Dec 2012","2,613.93","+591.97","0.00","0.00","0.00","0.00","3,205.90"
"Nov 2012","2,141.93","+472.00","0.00","0.00","0.00","0.00","2,613.93"
"Oct 2012","2,065.93","+76.00","0.00","0.00","0.00","0.00","2,141.93"
"Sep 2012","2,261.93","-196.00","0.00","0.00","0.00","0.00","2,065.93"
"Aug 2012","1,933.93","+328.00","0.00","0.00","0.00","0.00","2,261.93"
"Jul 2012","1,661.93","+272.00","0.00","0.00","0.00","0.00","1,933.93"
"Jun 2012","2,141.93","-480.00","0.00","0.00","0.00","0.00","1,661.93"
"May 2012","2,085.37","+56.55","0.01","0.00","0.00","0.00","2,141.93"
"Apr 2012","2,084.12","+1.25","0.00","0.00","0.00","0.00","2,085.37"
"Mar 2012","2,085.36","-27.50","26.26","0.00","0.00","0.00","2,084.12"
"Feb 2012","1,914.10","+171.25","0.01","0.00","0.00","0.00","2,085.36"
"Jan 2012","1,850.34","+63.75","0.01","0.00","0.00","0.00","1,914.10"
"Dec 2011","2,112.83","-288.75","26.26","0.00","0.00","0.00","1,850.34"
"Nov 2011","2,136.58","-23.75","0.00","0.00","0.00","0.00","2,112.83"
"Oct 2011","1,799.08","+337.50","0.00","0.00","0.00","0.00","2,136.58"
"Sep 2011","1,939.08","-166.25","26.25","0.00","0.00","0.00","1,799.08"
"Aug 2011","1,904.08","+35.00","0.00","0.00","0.00","0.00","1,939.08"
"Jul 2011","1,849.08","+55.00","0.00","0.00","0.00","0.00","1,904.08"
"Jun 2011","1,972.83","-150.00","26.25","0.00","0.00","0.00","1,849.08"
"May 2011","2,001.58","-28.75","0.00","0.00","0.00","0.00","1,972.83"
"Apr 2011","1,966.58","+35.00","0.00","0.00","0.00","0.00","2,001.58"
"Mar 2011","2,120.33","-180.00","26.25","0.00","0.00","0.00","1,966.58"
