symbol,action,share,cost
MSFT,BUY,700,220
GOOGL,BUY,1500,90
ADBE,BUY,300,300
AMD,BUY,800,80
AAPL,BUY,2000,145
META,BUY,600,140
IBM,BUY,300,124
RUN,BUY,1000,30.0
FSLR,BUY,500,65.0
MELI,BUY,100,700.0
JMIA,BUY,5000,6.0
ABNB,BUY,200,80.0
TSLA,BUY,500,800.0
F,BUY,3000,12
NXE,BUY,2000,4.0
XBI,BUY,1000,80.0
NVDA,BUY,1000,120.0
LNG,BUY,500,150.0
SNAP,BUY,3000,11.5
COIN,BUY,500,60
RBLX,BUY,1000,30
SQ,BUY,500,65.0
UBER,BUY,1000,28.0
PLTR,BUY,2500,8.0
JETS,SELL,2000,18
CLOV,SELL,3000,5.0
META,BUY,1000,150
SOFI,SELL,3000,7.0
FBOTX,SELL,5190,14.5
NNDM,SELL,4000,5.7
AGNC,SELL,1500,12.0
ARKF,SELL,1400,26.0
NOVA,SELL,700,25.0
OKTA,SELL,200,110
