


Brokerage

Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 09/30/2021, DIVIDEND RECEIVED ISHARES TR ISHARES BIOTECH (IBB) (Cash), IBB, ISHARES TR ISHARES BIOTECH,Cash,,,,,,2.11,
 09/30/2021, DIVIDEND RECEIVED INVESCO EXCHANGE TRADED FD TR WILDERHIL (PBW) (Cash), PBW, INVESCO EXCHANGE TRADED FD TR WILDERHIL,Cash,,,,,,1.09,
 09/30/2021, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.05,1,,,,-0.05,
 09/30/2021, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.05,
 09/23/2021, DIVIDEND RECEIVED SELECT SECTOR SPDR TRUST TECHNOLOGY SEL (XLK) (Cash), XLK, SELECT SECTOR SPDR TRUST TECHNOLOGY SEL,Cash,,,,,,1.36,
 09/09/2021, DIVIDEND RECEIVED MICROSOFT CORP (MSFT) (Cash), MSFT, MICROSOFT CORP,Cash,,,,,,1.68,
 09/01/2021, DIVIDEND RECEIVED AMERICAN WATER WORKS COMPANY INC COM US (AWK) (Cash), AWK, AMERICAN WATER WORKS COMPANY INC COM US,Cash,,,,,,3.01,
 08/31/2021, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.05,1,,,,-0.05,
 08/31/2021, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.05,
 08/12/2021, DIVIDEND RECEIVED APPLE INC (AAPL) (Cash), AAPL, APPLE INC,Cash,,,,,,2.2,
 08/02/2021, DIVIDEND RECEIVED as of 07/31/2021 JPMORGAN CHASE & CO (JPM) (Cash), JPM, JPMORGAN CHASE & CO,Cash,,,,,,3.6,
 07/30/2021, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.04,1,,,,-0.04,
 07/30/2021, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.04,
 07/20/2021, YOU SOLD JPMORGAN CHASE & CO (JPM) (Cash), JPM, JPMORGAN CHASE & CO,Cash,-4,150.35,,0.01,,601.39,07/22/2021
 07/20/2021, YOU SOLD GLOBAL X FDS RENEWABLE ENERGY (RNRG) (Cash), RNRG, GLOBAL X FDS RENEWABLE ENERGY,Cash,-30,15.83,,0.01,,474.89,07/22/2021
 07/20/2021, YOU SOLD GLOBAL X FDS CLOUD COMPUTNG (CLOU) (Cash), CLOU, GLOBAL X FDS CLOUD COMPUTNG,Cash,-10,28.35,,0.01,,283.44,07/22/2021
 07/20/2021, YOU SOLD GLOBAL X FDS DATA CTR REITS (VPN) (Cash), VPN, GLOBAL X FDS DATA CTR REITS,Cash,-6,17.34,,0.01,,104.03,07/22/2021
 07/20/2021, YOU SOLD CAMBRIA ETF TRUST CANNABIS ETF (TOKE) (Cash), TOKE, CAMBRIA ETF TRUST CANNABIS ETF,Cash,-10,16.18,,0.01,,161.84,07/22/2021
 07/20/2021, YOU SOLD BK OF AMERICA CORP COM (BAC) (Cash), BAC, BK OF AMERICA CORP COM,Cash,-5,37.94,,0.01,,189.69,07/22/2021
 07/20/2021, YOU SOLD ADVISORSHARES TR PURE CANNABIS (YOLO) (Cash), YOLO, ADVISORSHARES TR PURE CANNABIS,Cash,-6,18.91,,0.01,,113.46,07/22/2021
 07/08/2021, DIVIDEND RECEIVED GLOBAL X LITHIUM AND BATTERY TECH ETF (LIT) (Cash), LIT, GLOBAL X LITHIUM AND BATTERY TECH ETF,Cash,,,,,,0.36,
 07/08/2021, DIVIDEND RECEIVED GLOBAL X FDS AGING POPULATION (AGNG) (Cash), AGNG, GLOBAL X FDS AGING POPULATION,Cash,,,,,,0.17,
 07/08/2021, DIVIDEND RECEIVED GLOBAL X FDS GLOBAL X CONSCIOUS COS ETF (KRMA) (Cash), KRMA, GLOBAL X FDS GLOBAL X CONSCIOUS COS ETF,Cash,,,,,,1.25,
 07/08/2021, DIVIDEND RECEIVED GLOBAL X FDS RBTCS ARTFL INTE (BOTZ) (Cash), BOTZ, GLOBAL X FDS RBTCS ARTFL INTE,Cash,,,,,,0.59,
 07/08/2021, DIVIDEND RECEIVED GLOBAL X FDS RENEWABLE ENERGY (RNRG) (Cash), RNRG, GLOBAL X FDS RENEWABLE ENERGY,Cash,,,,,,3.05,
 07/08/2021, DIVIDEND RECEIVED GLOBAL X FDS ARTIFICIAL ETF (AIQ) (Cash), AIQ, GLOBAL X FDS ARTIFICIAL ETF,Cash,,,,,,0.36,
 07/08/2021, DIVIDEND RECEIVED GLOBAL X FDS CANNABIS ETF (POTX) (Cash), POTX, GLOBAL X FDS CANNABIS ETF,Cash,,,,,,1.93,
 07/08/2021, DIVIDEND RECEIVED GLOBAL X FDS VDEO GAM ESPRT (HERO) (Cash), HERO, GLOBAL X FDS VDEO GAM ESPRT,Cash,,,,,,0.1,
 07/08/2021, DIVIDEND RECEIVED GLOBAL X FDS DATA CTR REITS (VPN) (Cash), VPN, GLOBAL X FDS DATA CTR REITS,Cash,,,,,,0.41,
 07/06/2021, DIVIDEND RECEIVED CAMBRIA ETF TRUST CANNABIS ETF (TOKE) (Cash), TOKE, CAMBRIA ETF TRUST CANNABIS ETF,Cash,,,,,,2.76,





"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
