sym,acc_name,qty,origCost,divInc,optInc,optIncRate,rpnl,costBasis,Close,upnl,roi,upnlReal,sector,invType,eps,beta,dividend,target1yr,PE,divRate,mktValue,invested,perInvested,perMv
AAPL,ROTHC,1000,22.12444,38034,14337,9.530026,713163,-728.4663,169.2001,147075,4057,897666,BigTech,Growth,6.14,1.2,0.92,200,28,0.5437349,169200,22124,1.86814,11.64366
ABNB,ROLL,400,161.875,0,10107,21.44979,0,136.6075,116.74,-18055,-13,-7948,Leisure,Growth,1.28,,,182.25,91,,46695,64750,5.46746,3.213362
AGNC,WROS,1500,15.04225,7546,0,,-3853,11.46072,12.49,-3829,6,1543,Finance,Dividend,1.22,1.01,1.44,14,10,11.52922,18734,22563,1.905209,1.289198
AI,WROS,800,36.13636,0,5545,20.92762,-5591,36.19391,19.87,-13014,-46,-13060,Ai,Growth,-1.84,,,24.28,-11,,15896,28909,2.441063,1.093899
ARKF,ROLL,1400,27.21429,0,839,3.305787,0,26.615,18.4,-12341,-31,-11502,FinTech,Growth,,1.5,,20,,,25759,38100,3.217146,1.772631
ARKG,ROTHC,1000,60.515,191,1159,2.874849,0,59.1648,38.32,-22196,-35,-20845,BioTech,Growth,,1.6,,40,,,38319,60515,5.109859,2.636959
CLM,WROS,5000,11.01545,1954,0,,0,10.62445,10.492,-2618,-2,-663,Finance,Dividend,1.69,0.95,2.17,10,6,20.68243,52459,55077,4.650676,3.610017
CLOV,HSA,3000,7.228,0,0,,13000,2.546717,2.9494,-12836,5,1208,BioTech,Growth,-1.423,,,3.67,-2,,8848,21684,1.830987,0.6088837
DDD,ROLL,2500,21.37533,0,8188,11.074,2369,17.06919,10.48,-27239,-31,-16473,3D,Growth,2.55,1.21,,14.17,4,,26199,53438,4.51228,1.80291
FAS,ROLL,500,94,60,7465,23.82683,0,78.94832,80.683,-6659,1,867,Finance,Growth,,3.22,,90,,,40341,47000,3.968658,2.776105
IBM,WROS,400,128.4121,5937,5905,11.44059,17,96.9395,133.6811,2107,28,14696,Ai,Dividend,6.09,1.1,6.6,150,22,4.937123,53472,51364,4.337152,3.679728
IFN,WROS,6000,15.14131,31428,0,,0,9.903297,17.55,14452,50,45880,Foreign,Dividend,3.69,0.79,2.12,20,5,12.07977,105299,90847,7.671079,7.246253
JETS,ROLL,2000,20.99717,9,2492,4.639269,9053,16.74524,18.225,-5545,7,2959,Leisure,Growth,,1.51,,25,,,36450,41994,3.545954,2.508342
META,ROLL,200,199.75,0,7371,13.83811,5899,138.6462,165.2,-6911,13,5310,MetaVerse,Growth,13.21,1.39,,296,13,,33039,39950,3.37336,2.273611
NNDM,ROTHC,4000,5.7225,-60,0,,0,5.7375,3.16,-10250,-46,-10310,3D,Growth,-0.82,2.17,,8,-4,,12640,22890,1.932821,0.8698339
NOVA,ROLL,700,26.36471,0,2915,9.758467,-4725,28.95071,25.9733,-274,-12,-2085,Renewable,Growth,-1.23,2.21,,40,-21,,18181,18455,1.558332,1.251143
OKTA,ROLL,200,115,0,2285,14.90478,0,103.575,96.525,-3695,-7,-1410,CyberSec,Growth,-5.73,1.03,,162,-17,,19305,23000,1.942109,1.328492
PLTR,ROLL,1500,12.85,0,-87,0.4801001,2222,7.57566,8.095,-7133,4,779,Ai,Growth,-0.27,,,10.8,-30,,12142,19275,1.627572,0.8355636
PRLB,ROLL,500,67.89062,0,3032,6.245386,-11663,68.2612,40.81,-13541,-41,-13726,3D,Growth,1.41,1.26,,51,29,,20405,33945,2.8663,1.40419
QS,WROS,1000,25.07692,0,3941,10.3437,-2274,23.40903,11.52,-13557,-48,-11890,EV,Growth,-0.55,,,40,-21,,11520,25076,2.117406,0.79276
RUN,WROS,800,47.255,0,6214,15.94776,0,39.4875,34.1793,-10461,-12,-4247,Renewable,Growth,-0.39,2.1,,50,-88,,27343,37804,3.192152,1.881635
SOFI,ROLL,7000,12.71875,0,5625,6.173587,5549,11.41791,6.4995,-43535,-39,-34429,FinTech,Growth,-1,,,10.96,-6,,45496,89031,7.517736,3.130852
TSLA,ROTHC,1800,107.3758,0,24220,14.09771,43605,88.79592,295.75,339073,192,372517,EV,Growth,7.4,2.08,,1200,40,,532350,193276,16.32014,36.63418
UBER,ROLL,1000,31.06667,0,3400,5.473085,-7667,32.30073,29.075,-1992,-11,-3226,Leisure,Growth,-0.28,1.31,,52.45,-104,,29075,31066,2.623199,2.000824
XBI,ROLL,600,86.9,0,3821,10.99511,0,80.53167,89.955,1833,10,5654,BioTech,Growth,,1.2,,100,,,53973,52140,4.402677,3.714205
