sym,sector,invType,eps,beta,dividend,target
AAPL,BigTech,Growth,6.14,1.2,0.92,200.0
ABNB,Leisure,Growth,1.28,,,182.25
AGNC,Finance,Dividend,1.22,1.01,1.44,14.0
AGNG,Health,Growth,,0.80,,
AI,Ai,Growth,-1.84,,,24.28
AIQ,Ai,Growth,,1.1,,
AMD,Semi,Growth,2.57,1.81,,138.18
AMZN,BigTech,Value,41.69,1.12,,
ARKF,FinTech,Growth,,1.50,,20.0
ARKG,BioTech,Growth,,1.6,,40.0
ARKK,Tech,Growth,,1.6,,
AWK,Infra,Growth,7.07,0.41,2.6,
BABA,China,Growth,3.55,0.89,,172.94
BOTZ,Ai,Growth,,1.18,,
BP,Energy,Dividend,2.24,0.76,1.31,
BUG,Cyber,Growth,,0,,
BYND,Food,Growth,-2.88,1.61,,
C,Finance,Dividend,8.51,1.67,2.04,65.42
QCLN,Renewable,Growth,,1.78,,
CLM,Finance,Dividend,1.69,0.95,2.17,10.0
CLOV,BioTech,Growth,-1.423,,,3.67
COIN,FinTech,Growth,9.78,,,149.17
CUBA,Leisure,Dividend,1.36,1.39,1.06,10.0
DDD,3D,Growth,2.55,1.21,,14.17
DOCU,Cloud,Growth,-0.45,1.R4,,102.57
F,EV,Value,2.79,1.33,0.40,18.0
FAS,Finance,Growth,,3.22,,90.0
IFRA,Industrial,Growth,,3.22,,
IPOC,Healt,Growth,,3.22,,
IPOD,Industrial,Growth,,3.22,,
META,MetaVerse,Growth,13.21,1.39,,296.0
FSLY,FinTech,Growth,-1.92,1.51,,
FSLR,Solar,Growth,-1,0,150,
GOOGL,BigTech,Value,110.58,1.06,,3172.0
HERO,Game,Growth,,0.0,,30.0
IBB,BioTech,Value,,0.83,,130
IBM,Ai,Dividend,6.09,1.1,6.6,150
ICLN,Renewable,Growth,,1.22,,25.0
IFN,Foreign,Dividend,3.69,0.79,2.12,20.0
JETS,Leisure,Growth,,1.51,,25.0
JMIA,Foreign,Growth,-2.72,3.23,,
KWEB,China,Growth,,0.76,,50.0
KRMA,Concious,Growth,,1.03,32.0
LIT,EV,Growth,,1.46,90.0
MELI,Foreign,Growth,3.65,1.57,,1405.0
MSFT,BigTech,Growth,,,,360.0
NIO,China,Growth,-1.0,2.42,,40.0
NLY,Finance,Dividend,1.77,1.2,0.88,10.0
NNDM,3D,Growth,-0.82,2.17,,8.0
NOVA,Renewable,Growth,-1.23,2.21,,40.0
NVDA,Semi,Growth,3.85,1.42,0.16,264.0
NFLX,Media,Growth,11.02,0.97,,320.0
OKTA,CyberSec,Growth,-5.73,1.03,,162.0
ONVO,3D,Growoth,,0.50,,6.0
PAVE,Infra,Growth,,,,25.0
PLTR,Ai,Growth,-0.27,,,10.80
PLUG,EV,Growth,-0.27,,,
PRLB,3D,Growth,1.41,1.26,,51.0
PYPL,FinTech,Growth,3.03,1.29,,120.0
POTX,Canabbies,Growth,,,20.0
QS,EV,Growth,-0.55,,,40.0
QCOM,5G,Growth,9.76,1.23,3,202.0
QQQ,Tech,Growth,,,,
QRVO,5G,Growth,9.89,1.37,,145.21
RBLX,MetaVerse,Growth,-0.97,,,40.0
RIVN,EV,Growth,,,,58.5
RNRG,Renewable,Growth,,0.85,16.5
RUN,Renewable,Growth,-.39,2.10,,50.0
SOFI,FinTech,Growth,-1.0,,,10.96
S,CyberSec,Growth,-1.56,,,36.0
SPCE,Spac,Growth,-1.43,0.53,,10.0
SPY,AllMkt,Value,,,,
SQ,FinTech,Growth,0.33,2.31,,157.0
T,Utility,Dividend,2.38,0.65,1.11a,23.0
TAN,Renewable,Growth,,1.45,,80.0
TSLA,EV,Growth,7.4,2.08,,1200.0
UBER,Leisure,Growth,-0.28,1.31,,52.45
VOO,MktIndex,Growth,,,,
WFC,Finance,Dividend,4.83,1.15,1.0,
XBI,BioTech,Growth,,1.2,,100
XLF,Finance,Grwoth,,1.2,,
XLK,Tech,Growth,,1.09,,
ZS,CyberSec,Growth,,1.0,,322.29
^GSPC,Index,Value,,,
^DJI,Index,Value,,,
^IXIC,Index,Growth,,,
^RUT,Index,SmallCap,,,
^TNX,TR10Yr,Bond,,,
