Timestamp,Action,Symbol,Quantity,Cost,Total,Amount,Fees,Notes
2018-02-05T18:11:17Z,Buy,BTC,0.35014925,7035.00,2463.30,2500.00,36.70,"Bought 0.35014925 BTC for $2,500.00 USD"
2019-02-08T18:07:37Z,Buy,BTC,1.0,3656.90,3656.90,3711.39,54.49,"Bought 1.0000 BTC for $3,711.39 USD"
2019-06-27T20:11:24Z,Buy,BTC,0.35,10731.43,3756.00,3811.96,55.96,"Bought 0.3500 BTC for $3,811.96 USD"
2019-08-01T21:00:04Z,Buy,BTC,0.2705337,10466.72,2831.60,2873.79,42.19,"Bought 0.2705337 BTC for $2,873.79 USD"
2021-01-11T10:32:19Z,Sell,BTC,1.0,35430.87,35430.87,34902.95,527.92,"Sold 1.0000 BTC for $34,902.95 USD"
2018-02-14T12:12:13Z,Buy,ETH,3.0,885.77,2657.30,2696.89,39.59,"Bought 3.0000 ETH for $2,696.89 USD"
2018-07-19T11:14:10Z,Buy,ETH,5.0,479.43,2397.13,2432.85,35.72,"Bought 5.0000 ETH for $2,432.85 USD"
2018-11-15T17:46:25Z,Buy,ETH,8.0,176.66,1413.27,1434.33,21.06,"Bought 8.0000 ETH for $1,434.33 USD"
2019-04-04T09:55:25Z,Buy,ETH,16.0,162.40,2598.37,2637.09,38.72,"Bought 16.0000 ETH for $2,637.09 USD"
2020-08-04T18:46:41Z,Buy,ETH,10.0,389.11,3891.06,3949.04,57.98,"Bought 10.0000 ETH for $3,949.04 USD"
2021-01-11T10:31:11Z,Sell,ETH,8.0,1121.96,8975.72,8841.98,133.74,"Sold 8.0000 ETH for $8,841.98 USD"
2019-05-07T12:29:24Z,Buy,LTC,60.0,76.68,4600.82,4669.37,68.55,"Bought 60.0000 LTC for $4,669.37 USD"
2019-06-05T21:01:37Z,Buy,LTC,40.0,102.80,4112.18,4173.45,61.27,"Bought 40.0000 LTC for $4,173.45 USD"
2019-07-06T13:23:48Z,Sell,LTC,100.0,119.20,11756.38,11920.00,163.62,Converted 100.0000 LTC to 1.02931709 BTC
2019-07-06T13:23:48Z,Buy,BTC,1.02931709,11421.53,11756.38,11756.00,0.0,Converted 100.0000 LTC to 1.02931709 BTC
2021-01-20T13:23:48Z,Buy,BTC,0.5,35200,17600.0,17688,88.0,Buy BTC
2021-01-20T13:23:48Z,Buy,LTC,100,150.0,15000.0,15075,75.0,Buy LLC
2021-01-20T13:23:48Z,Sell,LTC,100,230.0,23000.0,23088,88.0,Sell LTC
2021-01-22T17:23:48Z,Sell,BTC,0.5,55000.0,27500,27596.0,96.0,Sell BTC
2021-03-02T17:23:48Z,Sell,BTC,0.899965,51000.0,45898,459780,80.0,Sell BTC
2021-03-01T17:23:48Z,lost,BTC,0.15,47000.0,4700,47i00,0.0,Scam loss BTC
2021-03-05T17:23:48Z,Buyl,ETH,16,1475.0,23600,236035,35.0,Buy ETH
