"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
02/05/2018 18:11:17,Buy,,0.35014925,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Bank of America - BofA... ********6952,2500.00,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Bank of America - BofA... ********6952,36.70,USD,...,
02/14/2018 12:12:13,Buy,,3.00000000,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,2696.89,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,39.59,USD,...,
07/19/2018 11:14:10,Buy,,5.00000000,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,2432.85,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,35.72,USD,...,
11/15/2018 17:46:25,Buy,,8.00000000,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,1434.33,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,21.06,USD,...,
02/08/2019 18:07:37,Buy,,1.00000000,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Bank of America - BofA... ********6952,3711.39,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Bank of America - BofA... ********6952,54.49,USD,...,
04/04/2019 09:55:25,Buy,,16.00000000,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,2637.09,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,38.72,USD,...,
05/07/2019 12:29:24,Buy,,60.00000000,LTC,...,...,Coinbase - LTC Wallet,,,Bought Litecoin Using Bank of America - BofA... ********6952,4669.37,USD,...,...,Coinbase - USD Wallet,,,Bought Litecoin Using Bank of America - BofA... ********6952,68.55,USD,...,
06/05/2019 21:01:37,Buy,,40.00000000,LTC,...,...,Coinbase - LTC Wallet,,,Bought Litecoin Using Bank of America - BofA... ********6952,4173.45,USD,...,...,Coinbase - USD Wallet,,,Bought Litecoin Using Bank of America - BofA... ********6952,61.27,USD,...,
06/27/2019 20:11:24,Buy,,0.35000000,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Bank of America - BofA... ********6952,3811.96,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Bank of America - BofA... ********6952,55.96,USD,...,
07/06/2019 13:23:48,Trade,,1.02931709,BTC,...,...,Coinbase - BTC Wallet,,,Converted from Litecoin Using LTC Wallet,100.00000000,LTC,...,...,Coinbase - LTC Wallet,,,Converted from Litecoin Using LTC Wallet,,,...,
08/01/2019 21:00:04,Buy,,0.27053370,BTC,...,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using Bank of America - BofA... ********6952,2873.79,USD,...,...,Coinbase - USD Wallet,,,Bought Bitcoin Using Bank of America - BofA... ********6952,42.19,USD,...,
08/04/2020 18:46:41,Buy,,10.00000000,ETH,...,...,Coinbase - ETH Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,3949.04,USD,...,...,Coinbase - USD Wallet,,,Bought Ethereum Using Bank of America - BofA... ********6952,57.98,USD,...,
12/18/2020 16:47:48,Receive,,4.37062937,GRT,...,...,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,...,...,,,,,,,...,
12/19/2020 12:10:07,Receive,,2.20750552,GRT,...,...,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,...,...,,,,,,,...,
12/19/2020 12:11:03,Receive,,2.19925225,GRT,...,...,Coinbase - GRT Wallet,,Payment,Received The Graph From Coinbase Earn,,,...,...,,,,,,,...,
01/04/2021 21:44:41,Receive,,1.31293901,CELO,1.31293901,2.00,Coinbase - CGLD Wallet,,Payment,Received Celo From Coinbase Earn,,,,,,,,,,,,
01/04/2021 21:45:19,Receive,,1.30872922,CELO,2.62166823,1.99,Coinbase - CGLD Wallet,,Payment,Received Celo From Coinbase Earn,,,,,,,,,,,,
01/04/2021 21:46:43,Receive,,1.30821559,CELO,3.92988382,2.00,Coinbase - CGLD Wallet,,Payment,Received Celo From Coinbase Earn,,,,,,,,,,,,
01/05/2021 16:12:52,Sell,,8.91,USD,,,Coinbase - USD Wallet,,,Sold Celo Using USD Wallet,3.92988382,CELO,0.00000000,5.99,Coinbase - CGLD Wallet,,,Sold Celo Using USD Wallet,1.49,USD,2.92,
01/11/2021 10:31:11,Sell,,8841.98,USD,,,Coinbase - USD Wallet,,,Sold Ethereum Using USD Wallet,8.00000000,ETH,34.00000000,5129.74,Coinbase - ETH Wallet,,,Sold Ethereum Using USD Wallet,133.74,USD,3712.24,
01/11/2021 10:32:19,Sell,,34902.95,USD,,,Coinbase - USD Wallet,,,Sold Bitcoin Using USD Wallet,1.00000000,BTC,2.00000004,11580.49,Coinbase - BTC Wallet,,,Sold Bitcoin Using USD Wallet,527.92,USD,23322.46,
01/14/2021 12:46:46,Transfer,,43753.84,USD,,,Coinbase Pro - USD,,,,43753.84,USD,,,Coinbase - USD Wallet,,,Transferred funds To Coinbase Pro,,,,
01/14/2021 12:59:43,Transfer,,34.00000000,ETH,34.00000000,,Coinbase Pro - ETH,,,,34.00000000,ETH,,,Coinbase - ETH Wallet,,,Transferred Ethereum To Coinbase Pro,,,,
01/14/2021 13:00:27,Transfer,,2.00000000,BTC,2.00000000,,Coinbase Pro - BTC,,,,2.00000000,BTC,0.00000004,,Coinbase - BTC Wallet,,,Transferred Bitcoin To Coinbase Pro,,,,
01/20/2021 00:01:18,Buy,,15.11080637,LTC,15.11080637,2277.95,Coinbase Pro - LTC,,,,2277.95,USD,,,Coinbase Pro - USD,,,,11.33,USD,,
01/20/2021 00:01:18,Buy,,81.61229449,LTC,96.72310086,12303.05,Coinbase Pro - LTC,,,,12303.05,USD,,,Coinbase Pro - USD,,,,61.21,USD,,
01/20/2021 00:01:18,Buy,,1.00000000,LTC,97.72310086,150.75,Coinbase Pro - LTC,,,,150.75,USD,,,Coinbase Pro - USD,,,,0.75,USD,,
01/20/2021 00:01:18,Buy,,1.88679610,LTC,99.60989696,284.43,Coinbase Pro - LTC,,,,284.43,USD,,,Coinbase Pro - USD,,,,1.42,USD,,
01/20/2021 00:01:18,Buy,,0.39010304,LTC,100.00000000,58.81,Coinbase Pro - LTC,,,,58.81,USD,,,Coinbase Pro - USD,,,,0.29,USD,,
01/20/2021 03:38:18,Buy,,0.50000000,BTC,2.50000000,17688.00,Coinbase Pro - BTC,,,,17688.00,USD,,,Coinbase Pro - USD,,,,88.00,USD,,
