Date,Investment,Type,Amount,Shares,,
12/30/2011,FID NEW MARKETS INC,Dividends and Interest,100.44,6.35,,
12/30/2011,FID INFLAT PROT BOND,Dividends and Interest,4.44,0.35,,
12/30/2011,FID HIGH INCOME,Dividends and Interest,71.16,8.24,,
12/30/2011,FID CAPITAL &amp; INCOME,Dividends and Interest,173.41,20.00,,
12/28/2011,FID SEL WIRELESS,CONTRIBUTION,129.96,18.20,,
12/28/2011,FID SEL TECHNOLOGY,CONTRIBUTION,129.96,1.51,,
12/28/2011,FID SEL ENERGY,CONTRIBUTION,129.94,2.67,,
12/28/2011,FID SEL CONS STAPLES,CONTRIBUTION,129.96,1.83,,
12/28/2011,FID LATIN AMERICA,Dividends and Interest,2.31,0.05,,
12/28/2011,FID LATIN AMERICA,CONTRIBUTION,129.96,2.69,,
12/21/2011,FID SEL WIRELESS,CONTRIBUTION,793.80,111.96,,
12/21/2011,FID SEL TECHNOLOGY,CONTRIBUTION,793.80,9.34,,
12/21/2011,FID SEL ENERGY,CONTRIBUTION,793.80,16.28,,
12/21/2011,FID SEL CONS STAPLES,CONTRIBUTION,793.80,11.21,,
12/21/2011,FID LATIN AMERICA,CONTRIBUTION,793.80,16.30,,
12/16/2011,FID INFLAT PROT BOND,Dividends and Interest,216.89,16.93,,
12/16/2011,FID NEW MARKETS INC,Dividends and Interest,94.91,6.02,,
01/20/2011,FID INFLAT PROT BOND,CONTRIBUTION,5783.30,499.42,,
12/14/2011,FID SEL WIRELESS,CONTRIBUTION,129.96,18.57,,
12/14/2011,FID SEL TECHNOLOGY,CONTRIBUTION,129.96,1.52,,
12/14/2011,FID SEL ENERGY,CONTRIBUTION,129.94,2.78,,
12/14/2011,FID SEL CONS STAPLES,CONTRIBUTION,129.96,1.89,,
12/14/2011,FID LATIN AMERICA,CONTRIBUTION,129.96,2.73,,
12/09/2011,FID SEL NATURAL RES,Dividends and Interest,94.43,2.92,,
12/09/2011,FID SEL ENERGY,Dividends and Interest,50.28,1.00,,
12/09/2011,FID SEL CONS STAPLES,Dividends and Interest,1183.62,16.83,,
12/02/2011,FID VALUE K,Dividends and Interest,274.90,4.36,,
12/02/2011,FID SEL WIRELESS,Dividends and Interest,1712.28,236.18,,
12/02/2011,FID LATIN AMERICA,Dividends and Interest,106.83,2.15,,
11/30/2011,FID SEL WIRELESS,CONTRIBUTION,129.96,16.97,,
11/30/2011,FID SEL TECHNOLOGY,CONTRIBUTION,129.96,1.45,,
11/30/2011,FID SEL ENERGY,CONTRIBUTION,129.94,2.53,,
11/30/2011,FID SEL CONS STAPLES,CONTRIBUTION,129.96,1.80,,
11/30/2011,FID NEW MARKETS INC,Dividends and Interest,53.74,3.39,,
11/30/2011,FID LATIN AMERICA,CONTRIBUTION,129.96,2.60,,
01/26/2010,FID INFLAT PROT BOND,CONTRIBUTION,5542.00,488.71,,
11/30/2011,FID HIGH INCOME,Dividends and Interest,29.31,3.45,,
