Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,12.52,12.52,12.52,12.52,000,12.52
2014-11-28,12.45,12.45,12.45,12.45,000,12.45
2014-11-26,12.48,12.48,12.48,12.48,000,12.48
2014-11-25,12.47,12.47,12.47,12.47,000,12.47
2014-11-24,12.44,12.44,12.44,12.44,000,12.44
2014-11-21,12.43,12.43,12.43,12.43,000,12.43
2014-11-20,12.38,12.38,12.38,12.38,000,12.38
2014-11-19,12.46,12.46,12.46,12.46,000,12.46
2014-11-18,12.59,12.59,12.59,12.59,000,12.59
2014-11-17,12.49,12.49,12.49,12.49,000,12.49
2014-11-14,12.67,12.67,12.67,12.67,000,12.67
2014-11-13,12.68,12.68,12.68,12.68,000,12.68
2014-11-12,12.64,12.64,12.64,12.64,000,12.64
2014-11-11,12.71,12.71,12.71,12.71,000,12.71
2014-11-10,12.74,12.74,12.74,12.74,000,12.74
2014-11-07,12.66,12.66,12.66,12.66,000,12.66
2014-11-06,12.68,12.68,12.68,12.68,000,12.68
2014-11-05,12.83,12.83,12.83,12.83,000,12.83
2014-11-04,12.93,12.93,12.93,12.93,000,12.93
2014-11-03,13.06,13.06,13.06,13.06,000,13.06
2014-10-31,13.10,13.10,13.10,13.10,000,13.10
2014-10-30,12.90,12.90,12.90,12.90,000,12.90
2014-10-29,12.92,12.92,12.92,12.92,000,12.92
2014-10-28,12.83,12.83,12.83,12.83,000,12.83
2014-10-27,12.84,12.84,12.84,12.84,000,12.84
2014-10-24,12.77,12.77,12.77,12.77,000,12.77
2014-10-23,12.70,12.70,12.70,12.70,000,12.70
2014-10-22,12.71,12.71,12.71,12.71,000,12.71
2014-10-21,12.67,12.67,12.67,12.67,000,12.67
2014-10-20,12.68,12.68,12.68,12.68,000,12.68
2014-10-17,12.40,12.40,12.40,12.40,000,12.40
2014-10-16,12.49,12.49,12.49,12.49,000,12.49
2014-10-15,12.67,12.67,12.67,12.67,000,12.67
2014-10-14,12.62,12.62,12.62,12.62,000,12.62
2014-10-13,12.59,12.59,12.59,12.59,000,12.59
2014-10-10,12.67,12.67,12.67,12.67,000,12.67
2014-10-09,12.80,12.80,12.80,12.80,000,12.80
2014-10-08,13.11,13.11,13.11,13.11,000,13.11
2014-10-07,13.03,13.03,13.03,13.03,000,13.03
2014-10-06,13.07,13.07,13.07,13.07,000,13.07
2014-10-03,12.95,12.95,12.95,12.95,000,12.95
2014-10-02,12.89,12.89,12.89,12.89,000,12.89
2014-10-01,13.14,13.14,13.14,13.14,000,13.14
2014-09-30,13.14,13.14,13.14,13.14,000,13.14
2014-09-29,13.26,13.26,13.26,13.26,000,13.26
2014-09-26,13.31,13.31,13.31,13.31,000,13.31
2014-09-25,13.26,13.26,13.26,13.26,000,13.26
2014-09-24,13.24,13.24,13.24,13.24,000,13.24
2014-09-23,13.18,13.18,13.18,13.18,000,13.18
2014-09-22,13.19,13.19,13.19,13.19,000,13.19
2014-09-19,13.19,13.19,13.19,13.19,000,13.19
2014-09-18,13.19,13.19,13.19,13.19,000,13.19
2014-09-17,13.18,13.18,13.18,13.18,000,13.18
2014-09-16,13.33,13.33,13.33,13.33,000,13.33
2014-09-15,13.26,13.26,13.26,13.26,000,13.26
2014-09-12,13.24,13.24,13.24,13.24,000,13.24
2014-09-11,13.29,13.29,13.29,13.29,000,13.29
2014-09-10,13.37,13.37,13.37,13.37,000,13.37
2014-09-09,13.31,13.31,13.31,13.31,000,13.31
2014-09-08,13.41,13.41,13.41,13.41,000,13.41
2014-09-05,13.43,13.43,13.43,13.43,000,13.43
2014-09-04,13.47,13.47,13.47,13.47,000,13.47
2014-09-03,13.59,13.59,13.59,13.59,000,13.59
2014-09-02,13.53,13.53,13.53,13.53,000,13.53
2014-08-29,13.51,13.51,13.51,13.51,000,13.51
2014-08-28,13.55,13.55,13.55,13.55,000,13.55
2014-08-27,13.60,13.60,13.60,13.60,000,13.60
2014-08-26,13.56,13.56,13.56,13.56,000,13.56
2014-08-25,13.63,13.63,13.63,13.63,000,13.63
2014-08-22,13.58,13.58,13.58,13.58,000,13.58
2014-08-21,13.68,13.68,13.68,13.68,000,13.68
2014-08-20,13.64,13.64,13.64,13.64,000,13.64
2014-08-19,13.73,13.73,13.73,13.73,000,13.73
2014-08-18,13.73,13.73,13.73,13.73,000,13.73
2014-08-15,13.69,13.69,13.69,13.69,000,13.69
2014-08-14,13.67,13.67,13.67,13.67,000,13.67
2014-08-13,13.64,13.64,13.64,13.64,000,13.64
2014-08-12,13.60,13.60,13.60,13.60,000,13.60
2014-08-11,13.57,13.57,13.57,13.57,000,13.57
2014-08-08,13.52,13.52,13.52,13.52,000,13.52
2014-08-07,13.47,13.47,13.47,13.47,000,13.47
2014-08-06,13.48,13.48,13.48,13.48,000,13.48
2014-08-05,13.50,13.50,13.50,13.50,000,13.50
2014-08-04,13.69,13.69,13.69,13.69,000,13.69
2014-08-01,13.63,13.63,13.63,13.63,000,13.63
2014-07-31,13.65,13.65,13.65,13.65,000,13.65
2014-07-30,13.88,13.88,13.88,13.88,000,13.88
2014-07-29,13.91,13.91,13.91,13.91,000,13.91
2014-07-28,13.87,13.87,13.87,13.87,000,13.87
2014-07-25,13.78,13.78,13.78,13.78,000,13.78
2014-07-24,13.72,13.72,13.72,13.72,000,13.72
2014-07-23,13.77,13.77,13.77,13.77,000,13.77
2014-07-22,13.77,13.77,13.77,13.77,000,13.77
2014-07-21,13.69,13.69,13.69,13.69,000,13.69
2014-07-18,13.71,13.71,13.71,13.71,000,13.71
2014-07-17,13.68,13.68,13.68,13.68,000,13.68
2014-07-16,13.69,13.69,13.69,13.69,000,13.69
2014-07-15,13.67,13.67,13.67,13.67,000,13.67
2014-07-14,13.65,13.65,13.65,13.65,000,13.65
2014-07-11,13.56,13.56,13.56,13.56,000,13.56
2014-07-10,13.54,13.54,13.54,13.54,000,13.54
2014-07-09,13.71,13.71,13.71,13.71,000,13.71
2014-07-08,13.68,13.68,13.68,13.68,000,13.68
2014-07-07,13.69,13.69,13.69,13.69,000,13.69
2014-07-03,13.66,13.66,13.66,13.66,000,13.66
2014-07-02,13.68,13.68,13.68,13.68,000,13.68
2014-07-01,13.71,13.71,13.71,13.71,000,13.71
2014-06-30,13.62,13.62,13.62,13.62,000,13.62
2014-06-27,13.39,13.39,13.39,13.39,000,13.39
2014-06-26,13.41,13.41,13.41,13.41,000,13.41
2014-06-25,13.39,13.39,13.39,13.39,000,13.39
2014-06-24,13.41,13.41,13.41,13.41,000,13.41
2014-06-23,13.36,13.36,13.36,13.36,000,13.36
2014-06-20,13.37,13.37,13.37,13.37,000,13.37
2014-06-19,13.38,13.38,13.38,13.38,000,13.38
2014-06-18,13.33,13.33,13.33,13.33,000,13.33
2014-06-17,13.18,13.18,13.18,13.18,000,13.18
2014-06-16,13.15,13.15,13.15,13.15,000,13.15
2014-06-13,13.15,13.15,13.15,13.15,000,13.15
2014-06-12,13.07,13.07,13.07,13.07,000,13.07
2014-06-11,13.05,13.05,13.05,13.05,000,13.05
2014-06-10,12.99,12.99,12.99,12.99,000,12.99
2014-06-09,13.00,13.00,13.00,13.00,000,13.00
2014-06-06,13.02,13.02,13.02,13.02,000,13.02
2014-06-05,12.94,12.94,12.94,12.94,000,12.94
2014-06-04,12.97,12.97,12.97,12.97,000,12.97
2014-06-03,12.92,12.92,12.92,12.92,000,12.92
2014-06-02,12.91,12.91,12.91,12.91,000,12.91
2014-05-30,12.85,12.85,12.85,12.85,000,12.85
2014-05-29,12.81,12.81,12.81,12.81,000,12.81
2014-05-28,12.78,12.78,12.78,12.78,000,12.78
