Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,48.130001,48.130001,48.130001,48.130001,47.429760,0
2018-08-07,48.110001,48.110001,48.110001,48.110001,47.410049,0
2018-08-08,47.889999,47.889999,47.889999,47.889999,47.193249,0
2018-08-09,47.570000,47.570000,47.570000,47.570000,46.877903,0
2018-08-10,47.770000,47.770000,47.770000,47.770000,47.074997,0
2018-08-13,47.090000,47.090000,47.090000,47.090000,46.404888,0
2018-08-14,47.430000,47.430000,47.430000,47.430000,46.739941,0
2018-08-15,45.290001,45.290001,45.290001,45.290001,44.631077,0
2018-08-16,45.619999,45.619999,45.619999,45.619999,44.956276,0
2018-08-17,45.740002,45.740002,45.740002,45.740002,45.074532,0
2018-08-20,46.110001,46.110001,46.110001,46.110001,45.439148,0
2018-08-21,46.490002,46.490002,46.490002,46.490002,45.813622,0
2018-08-22,47.150002,47.150002,47.150002,47.150002,46.464020,0
2018-08-23,47.049999,47.049999,47.049999,47.049999,46.365471,0
2018-08-24,47.549999,47.549999,47.549999,47.549999,46.858196,0
2018-08-27,47.860001,47.860001,47.860001,47.860001,47.163689,0
2018-08-28,47.639999,47.639999,47.639999,47.639999,46.946884,0
2018-08-29,47.970001,47.970001,47.970001,47.970001,47.272087,0
2018-08-30,47.860001,47.860001,47.860001,47.860001,47.163689,0
2018-08-31,47.480000,47.480000,47.480000,47.480000,46.789211,0
2018-09-04,47.270000,47.270000,47.270000,47.270000,46.582272,0
2018-09-05,46.740002,46.740002,46.740002,46.740002,46.059982,0
2018-09-06,45.680000,45.680000,45.680000,45.680000,45.015400,0
2018-09-07,45.430000,45.430000,45.430000,45.430000,44.769043,0
2018-09-10,45.470001,45.470001,45.470001,45.470001,44.808460,0
2018-09-11,46.009998,46.009998,46.009998,46.009998,45.340599,0
2018-09-12,46.250000,46.250000,46.250000,46.250000,45.577110,0
2018-09-13,46.200001,46.200001,46.200001,46.200001,45.527836,0
2018-09-14,46.330002,46.330002,46.330002,46.330002,45.655949,0
2018-09-17,46.169998,46.169998,46.169998,46.169998,45.498272,0
2018-09-18,46.750000,46.750000,46.750000,46.750000,46.069836,0
2018-09-19,46.820000,46.820000,46.820000,46.820000,46.138817,0
2018-09-20,46.730000,46.730000,46.730000,46.730000,46.050129,0
2018-09-21,47.090000,47.090000,47.090000,47.090000,46.404888,0
2018-09-24,48.029999,48.029999,48.029999,48.029999,47.331215,0
2018-09-25,48.369999,48.369999,48.369999,48.369999,47.666264,0
2018-09-26,47.880001,47.880001,47.880001,47.880001,47.183395,0
2018-09-27,47.970001,47.970001,47.970001,47.970001,47.272087,0
2018-09-28,48.090000,48.090000,48.090000,48.090000,47.390339,0
2018-10-01,48.759998,48.759998,48.759998,48.759998,48.050594,0
2018-10-02,48.590000,48.590000,48.590000,48.590000,47.883064,0
2018-10-03,49.220001,49.220001,49.220001,49.220001,48.503902,0
2018-10-04,48.709999,48.709999,48.709999,48.709999,48.001316,0
2018-10-05,48.599998,48.599998,48.599998,48.599998,47.892921,0
2018-10-08,48.169998,48.169998,48.169998,48.169998,47.469177,0
