Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,60.180000,60.180000,60.180000,60.180000,53.051689,0
2018-08-07,60.560001,60.560001,60.560001,60.560001,53.386681,0
2018-08-08,60.340000,60.340000,60.340000,60.340000,53.192738,0
2018-08-09,60.470001,60.470001,60.470001,60.470001,53.307343,0
2018-08-10,59.730000,59.730000,59.730000,59.730000,52.654987,0
2018-08-13,58.970001,58.970001,58.970001,58.970001,51.985012,0
2018-08-14,59.290001,59.290001,59.290001,59.290001,52.267109,0
2018-08-15,59.160000,59.160000,59.160000,59.160000,52.152508,0
2018-08-16,59.500000,59.500000,59.500000,59.500000,52.452232,0
2018-08-17,59.730000,59.730000,59.730000,59.730000,52.654987,0
2018-08-20,60.090000,60.090000,60.090000,60.090000,52.972347,0
2018-08-21,60.889999,60.889999,60.889999,60.889999,53.677589,0
2018-08-22,61.150002,61.150002,61.150002,61.150002,53.906796,0
2018-08-23,61.110001,61.110001,61.110001,61.110001,53.871532,0
2018-08-24,61.279999,61.279999,61.279999,61.279999,54.021393,0
2018-08-27,61.669998,61.669998,61.669998,61.669998,54.365196,0
2018-08-28,61.740002,61.740002,61.740002,61.740002,54.426910,0
2018-08-29,61.930000,61.930000,61.930000,61.930000,54.594402,0
2018-08-30,61.410000,61.410000,61.410000,61.410000,54.135994,0
2018-08-31,61.549999,61.549999,61.549999,61.549999,54.259411,0
2018-09-04,61.740002,61.740002,61.740002,61.740002,54.426910,0
2018-09-05,61.770000,61.770000,61.770000,61.770000,54.453354,0
2018-09-06,61.950001,61.950001,61.950001,61.950001,54.612034,0
2018-09-07,61.779999,61.779999,61.779999,61.779999,54.462170,0
2018-09-10,62.459999,62.459999,62.459999,62.459999,55.061623,0
2018-09-11,62.950001,62.950001,62.950001,62.950001,55.493584,0
2018-09-12,63.029999,63.029999,63.029999,63.029999,55.564106,0
2018-09-13,62.619999,62.619999,62.619999,62.619999,55.202671,0
2018-09-14,62.770000,62.770000,62.770000,62.770000,55.334904,0
2018-09-17,62.540001,62.540001,62.540001,62.540001,55.132149,0
2018-09-18,63.000000,63.000000,63.000000,63.000000,55.537659,0
2018-09-19,62.980000,62.980000,62.980000,62.980000,55.520027,0
2018-09-20,63.029999,63.029999,63.029999,63.029999,55.564106,0
2018-09-21,63.049999,63.049999,63.049999,63.049999,55.581738,0
2018-09-24,62.020000,62.020000,62.020000,62.020000,54.673740,0
2018-09-25,61.849998,61.849998,61.849998,61.849998,54.523876,0
2018-09-26,61.369999,61.369999,61.369999,61.369999,54.100735,0
2018-09-27,61.250000,61.250000,61.250000,61.250000,53.994949,0
2018-09-28,61.259998,61.259998,61.259998,61.259998,54.003761,0
2018-10-01,61.130001,61.130001,61.130001,61.130001,53.889164,0
2018-10-02,60.820000,60.820000,60.820000,60.820000,53.615883,0
2018-10-03,60.529999,60.529999,60.529999,60.529999,53.360229,0
2018-10-04,59.720001,59.720001,59.720001,59.720001,52.646175,0
2018-10-05,59.270000,59.270000,59.270000,59.270000,52.249477,0
2018-10-08,59.669998,59.669998,59.669998,59.669998,52.602093,0
2018-10-09,58.910000,58.910000,58.910000,58.910000,51.932117,0
2018-10-10,57.830002,57.830002,57.830002,57.830002,50.980049,0
2018-10-11,56.509998,56.509998,56.509998,56.509998,49.816399,0
2018-10-12,56.599998,56.599998,56.599998,56.599998,49.895737,0
2018-10-15,56.480000,56.480000,56.480000,56.480000,49.789955,0
2018-10-16,57.470001,57.470001,57.470001,57.470001,50.662689,0
2018-10-17,56.060001,56.060001,56.060001,56.060001,49.419704,0
2018-10-18,54.990002,54.990002,54.990002,54.990002,48.476444,0
2018-10-19,54.599998,54.599998,54.599998,54.599998,48.132637,0
2018-10-22,54.000000,54.000000,54.000000,54.000000,47.603706,0
2018-10-23,54.189999,54.189999,54.189999,54.189999,47.771202,0
