
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2012 - 12/31/2012,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
12/31/2012,FIMM MONEY MKT INST,Dividends and Interest,"1.41","1.410"
12/31/2012,FID NEW MARKETS INC,Dividends and Interest,"75.58","4.246"
12/31/2012,FID INFLAT PROT BOND,Dividends and Interest,"1.77","0.133"
12/31/2012,FID HIGH INCOME,Dividends and Interest,"54.90","5.878"
12/31/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"64.87","6.828"
12/27/2012,FID VALUE K,Dividends and Interest,"58.84","0.777"
12/27/2012,FID SEL NATURAL RES,Dividends and Interest,"1.12","0.035"
12/27/2012,FID REAL ESTATE INC,Dividends and Interest,"0.12","0.011"
12/26/2012,FIMM MONEY MKT INST,Exchanges,"57,838.09","57,838.090"
12/26/2012,FID SEL WIRELESS,Exchanges,"-41,361.84","-5,019.640"
12/26/2012,FID SEL WIRELESS,Change in Market Value,"8,244.18","0.000"
12/26/2012,FID SEL FINANCIAL,CONTRIBUTION,"350.00","5.718"
12/26/2012,FID SEL ENERGY,Exchanges,"-8,608.33","-170.327"
12/26/2012,FID SEL ENERGY,Change in Market Value,"337.09","0.000"
12/26/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"175.00","3.632"
12/26/2012,FID REAL ESTATE INC,CONTRIBUTION,"175.00","15.392"
12/26/2012,FID LATIN AMERICA,Exchanges,"-7,867.92","-172.014"
12/26/2012,FID LATIN AMERICA,Change in Market Value,"-1,059.09","0.000"
12/21/2012,FID SEL NATURAL RES,Dividends and Interest,"32.23","0.998"
12/21/2012,FID SEL MEDICAL DEL,Dividends and Interest,"1,715.81","29.670"
12/21/2012,FID SEL FINANCIAL,Dividends and Interest,"107.76","1.756"
12/21/2012,FID SEL ENERGY,Dividends and Interest,"125.41","2.452"
12/21/2012,FID SEL CONSTR/HOUSE,Dividends and Interest,"64.48","1.333"
12/21/2012,FID SEL CONS STAPLES,Dividends and Interest,"1,148.93","14.292"
12/21/2012,FID NEW MARKETS INC,Dividends and Interest,"357.67","20.150"
12/21/2012,FID INFLAT PROT BOND,Dividends and Interest,"280.83","20.926"
12/19/2012,FID SEL FINANCIAL,CONTRIBUTION,"1,743.84","28.090"
12/19/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"871.92","17.762"
12/19/2012,FID REAL ESTATE INVS,CONTRIBUTION,"871.92","27.532"
12/19/2012,FID EMEA,CONTRIBUTION,"871.92","96.772"
12/14/2012,FID REAL ESTATE INVS,Dividends and Interest,"20.83","0.667"
12/12/2012,FID SEL FINANCIAL,CONTRIBUTION,"280.00","4.556"
12/12/2012,FID SEL CONSTR/HOUSE,CONTRIBUTION,"140.00","2.890"
12/12/2012,FID REAL ESTATE INVS,CONTRIBUTION,"140.00","4.420"
12/12/2012,FID EMEA,CONTRIBUTION,"140.00","15.748"
12/07/2012,FID VALUE K,Dividends and Interest,"379.78","5.076"
12/07/2012,FID SEL WIRELESS,Dividends and Interest,"661.81","80.808"
12/07/2012,FID LATIN AMERICA,Dividends and Interest,"692.53","15.545"
12/07/2012,FID HIGH INCOME,Dividends and Interest,"58.96","6.333"
12/07/2012,FID EMEA,Dividends and Interest,"93.48","10.647"
12/07/2012,FID CAPITAL &amp; INCOME,Dividends and Interest,"65.03","6.867"
11/30/2012,FID NEW MARKETS INC,Dividends and Interest,"73.32","4.085"
