"Date","Investment","Transaction Type","Amount","Shares/Unit"
"06/30/2021","FIMM MMKT INST","Contributions",1006.34,1006.34
"06/30/2021","FIMM MMKT INST","Dividends and Interest",0.74,0.74
"06/30/2021","FID DISRUPT AUTOMTN","Contributions",782.7,41.632
"06/24/2021","FIMM MMKT INST","Exchanges",-20000,-20000
"06/24/2021","FID INFRASTRUCTURE","Exchanges",20000,1622.061
"06/17/2021","FID SEL CONSTR/HOUSE","Change in Market Value",23989.55,0
"06/17/2021","FID SEL CONSTR/HOUSE","Exchanges",-70000,-799.725
"06/17/2021","FID ENV ALT ENERGY","Exchanges",20000,608.827
"06/17/2021","FIMM MMKT INST","Exchanges",30000,30000
"06/17/2021","FID INFRASTRUCTURE","Exchanges",20000,1607.716
"06/16/2021","FIMM MMKT INST","Contributions",1006.34,1006.34
"06/16/2021","FID DISRUPT AUTOMTN","Contributions",782.7,42.286
"06/04/2021","FID DISRUPT AUTOMTN","Contributions",0.1,0.005
"06/02/2021","FIMM MMKT INST","Contributions",559.08,559.08
"06/02/2021","FID DISRUPT AUTOMTN","Contributions",782.7,42.77
"05/28/2021","FIMM MMKT INST","Dividends and Interest",1.69,1.69
"05/25/2021","FID SEL AIR TRANSPRT","REVENUE CREDIT",38.06,0.525
"05/25/2021","FID SEL BIOTECH","REVENUE CREDIT",171.22,8.204
"05/25/2021","FID SEL LEISURE","REVENUE CREDIT",24.71,1.3
"05/25/2021","FID SEL MED TECH&DV","REVENUE CREDIT",115.95,1.568
"05/25/2021","FID SEL BANKING","REVENUE CREDIT",121.02,4.075
"05/25/2021","FID SEL CONSTR/HOUSE","REVENUE CREDIT",108.37,1.214
"05/25/2021","FID ENV ALT ENERGY","REVENUE CREDIT",22.66,0.679
"05/25/2021","FIMM MMKT INST","REVENUE CREDIT",20.75,20.75
"05/25/2021","FID DIVIDEND GR K","REVENUE CREDIT",63.02,1.768
"05/25/2021","FA CHINA REGION Z","REVENUE CREDIT",73.87,1.305
"05/25/2021","FID INFRASTRUCTURE","REVENUE CREDIT",23.64,1.936
"05/25/2021","FID DISRUPT AUTOMTN","REVENUE CREDIT",46.61,2.581
"05/19/2021","FIMM MMKT INST","Contributions",559.08,559.08
"05/19/2021","FID DISRUPT AUTOMTN","Contributions",782.7,44.982
"05/12/2021","FIMM MMKT INST","Exchanges",-20000,-20000
"05/12/2021","FA CHINA REGION Z","Exchanges",20000,366.838
"05/05/2021","FID DISRUPT AUTOMTN","Contributions",838.61,46.564
"05/04/2021","FID SEL LEISURE","Exchanges",20000,1043.84
"05/04/2021","FIMM MMKT INST","Exchanges",-20000,-20000
"04/30/2021","FID SEL BIOTECH","Exchanges",25000,1116.072
"04/30/2021","FIMM MMKT INST","Dividends and Interest",2.5,2.5
"04/30/2021","FIMM MMKT INST","Exchanges",-25000,-25000
"04/28/2021","FIMM MMKT INST","Exchanges",72662.01,72662.01
"04/28/2021","FA GOLD Z","Change in Market Value",3032.27,0
"04/28/2021","FA GOLD Z","Exchanges",-72662.01,-2535.311
"04/21/2021","FID DISRUPT AUTOMTN","Contributions",838.61,45.776
"04/20/2021","FID SEL LEISURE","Exchanges",20000,1060.445
"04/20/2021","FIMM MMKT INST","Exchanges",-20000,-20000
"04/09/2021","FID SEL BIOTECH","Dividends and Interest",12982.14,603.54
"04/09/2021","FID SEL LEISURE","Dividends and Interest",2037.2,106.436
"04/09/2021","FID SEL MED TECH&DV","Dividends and Interest",6334.46,85.635
"04/09/2021","FID SEL BANKING","Dividends and Interest",69.64,2.422
"04/09/2021","FID SEL CONSTR/HOUSE","Dividends and Interest",3119.18,35.465
"04/09/2021","FID ENV ALT ENERGY","Dividends and Interest",22.97,0.699
"04/07/2021","FID DISRUPT AUTOMTN","Contributions",838.61,46.434
"03/31/2021","FIMM MMKT INST","Dividends and Interest",4.6,4.6
"03/26/2021","FIMM MMKT INST","Exchanges",-20000,-20000
"03/26/2021","FA CHINA REGION Z","Exchanges",20000,344.412
"03/24/2021","FID DISRUPT AUTOMTN","Contributions",838.61,49.446
"03/10/2021","FID DISRUPT AUTOMTN","Contributions",838.61,49.243
"03/05/2021","FID SEL AIR TRANSPRT","Exchanges",20000,296.517
"03/05/2021","FID SEL LEISURE","Exchanges",20000,1063.265
"03/05/2021","FIMM MMKT INST","Exchanges",-40000,-40000
"02/26/2021","FIMM MMKT INST","Dividends and Interest",4.87,4.87
"02/24/2021","FID DISRUPT AUTOMTN","Contributions",838.61,46.719
"02/23/2021","FIMM MMKT INST","Exchanges",-10000,-10000
"02/23/2021","FID DISRUPT AUTOMTN","Exchanges",10000,556.793
"02/19/2021","FIMM MMKT INST","Exchanges",80000,80000
"02/19/2021","FA GOLD Z","Change in Market Value",-3604.2,0
"02/19/2021","FA GOLD Z","Exchanges",-80000,-3044.14
"02/18/2021","FID ENV ALT ENERGY","Exchanges",20000,651.254
"02/18/2021","FIMM MMKT INST","Exchanges",-20000,-20000
"02/10/2021","FID DISRUPT AUTOMTN","Contributions",838.61,45.403
"01/29/2021","FIMM MMKT INST","Dividends and Interest",4.44,4.44
"01/27/2021","FID DISRUPT AUTOMTN","Contributions",838.61,47.702
"01/20/2021","FIMM MMKT INST","Contributions",19141,19141
"01/13/2021","FID DISRUPT AUTOMTN","Contributions",838.61,47.06
"01/08/2021","FIMM MMKT INST","Exchanges",-30000,-30000
"01/08/2021","FID INFRASTRUCTURE","Exchanges",30000,2493.766
"01/06/2021","FID ENV ALT ENERGY","Exchanges",17247.01,557.614
"01/06/2021","FIMM MMKT INST","Dividends and Interest",0.23,0.23
"01/06/2021","FIMM MMKT INST","Exchanges",88795.02,88795.02
"01/06/2021","FA TECHNOLOGY Z","Change in Market Value",40232.31,0
"01/06/2021","FA TECHNOLOGY Z","Exchanges",-106042.03,-1118.233
"09/30/2021","FIMM MMKT INST","Dividends and Interest",1.55,1.55
"09/24/2021","FID SEL LEISURE","Exchanges",20000,988.632
"09/24/2021","FIMM MMKT INST","Exchanges",-30000,-30000
"09/24/2021","FID DISRUPT AUTOMTN","Exchanges",10000,505.051
