
Plan name:,FIDELITY RET SAVINGS
Date Range,07/01/2019 - 09/30/2019,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
09/30/2019,FIMM MMKT INST,Dividends and Interest,"472.79","472.790"
09/25/2019,FID SEL MED TECH&amp;DV,CONTRIBUTION,"587.02","10.577"
09/25/2019,FID JAPAN SMALL CO,CONTRIBUTION,"251.59","14.730"
09/11/2019,FID SEL MED TECH&amp;DV,CONTRIBUTION,"587.02","10.535"
09/11/2019,FID JAPAN SMALL CO,CONTRIBUTION,"251.59","15.075"
08/30/2019,FIMM MMKT INST,Dividends and Interest,"457.49","457.490"
08/28/2019,FID SEL MED TECH&amp;DV,CONTRIBUTION,"587.02","10.627"
08/28/2019,FID JAPAN SMALL CO,CONTRIBUTION,"251.59","15.598"
08/16/2019,FID SEL TECHNOLOGY,Exchanges,"-56,509.71","-3,289.273"
08/16/2019,FID SEL TECHNOLOGY,Change in Market Value,"16,872.61","0.000"
08/16/2019,FID SEL GOLD,Exchanges,"-66,123.66","-2,801.850"
08/16/2019,FID SEL GOLD,Change in Market Value,"17,117.32","0.000"
08/16/2019,FID SEL ENERGY,Exchanges,"-49,755.60","-1,524.375"
08/16/2019,FID SEL ENERGY,Change in Market Value,"-10,935.13","0.000"
08/16/2019,FID CHINA REGION,Exchanges,"-100,865.77","-3,015.419"
08/16/2019,FID CHINA REGION,Change in Market Value,"4,031.49","0.000"
08/16/2019,FA TECHNOLOGY Z,Exchanges,"56,509.71","1,013.082"
08/16/2019,FA GOLD Z,Exchanges,"66,123.66","2,798.293"
08/16/2019,FA ENERGY Z,Exchanges,"49,755.60","1,871.918"
08/16/2019,FA CHINA REGION Z,Exchanges,"100,865.77","3,040.873"
08/15/2019,FIMM MMKT INST,Exchanges,"54,365.61","54,365.610"
08/15/2019,FID SEL FINANCIAL,Exchanges,"-54,365.61","-5,616.281"
08/15/2019,FID SEL FINANCIAL,Change in Market Value,"11,831.95","0.000"
08/14/2019,FID SEL MED TECH&amp;DV,CONTRIBUTION,"587.02","10.798"
08/14/2019,FID JAPAN SMALL CO,CONTRIBUTION,"251.59","15.863"
07/31/2019,FIMM MMKT INST,Dividends and Interest,"437.75","437.750"
07/31/2019,FID JAPAN SMALL CO,CONTRIBUTION,"161.44","9.778"
07/31/2019,FID CHINA REGION,CONTRIBUTION,"645.73","18.529"
07/17/2019,FID JAPAN SMALL CO,CONTRIBUTION,"167.72","10.025"
07/17/2019,FID CHINA REGION,CONTRIBUTION,"670.89","19.141"
07/03/2019,FID JAPAN SMALL CO,CONTRIBUTION,"161.44","9.559"
07/03/2019,FID CHINA REGION,CONTRIBUTION,"645.73","18.283"
