
Plan name:,FIDELITY RET SAVINGS
Date Range,01/01/2016 - 03/31/2016,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
03/31/2016,FIMM MMKT INST,Dividends and Interest,"39.63","39.630"
03/30/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.480"
03/30/2016,FID CHINA REGION,CONTRIBUTION,"436.18","18.664"
03/16/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.558"
03/16/2016,FID CHINA REGION,CONTRIBUTION,"436.18","19.438"
03/02/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.612"
03/02/2016,FID CHINA REGION,CONTRIBUTION,"436.18","19.764"
02/29/2016,FIMM MMKT INST,Dividends and Interest,"36.21","36.210"
02/17/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.748"
02/17/2016,FID CHINA REGION,CONTRIBUTION,"436.18","20.316"
02/03/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.744"
02/03/2016,FID CHINA REGION,CONTRIBUTION,"436.18","20.662"
01/29/2016,FIMM MMKT INST,Dividends and Interest,"34.09","34.090"
01/20/2016,FID SEL TECHNOLOGY,CONTRIBUTION,"290.80","2.788"
01/20/2016,FID CHINA REGION,CONTRIBUTION,"436.18","20.526"
01/13/2016,FIMM MMKT INST,CONTRIBUTION,"17,245.02","17,245.020"
01/06/2016,FID SEL GOLD,CONTRIBUTION,"145.40","10.378"
01/06/2016,FID SEL ENERGY,CONTRIBUTION,"581.58","17.288"
