
Plan name:,FMR PROFIT SHARING  
Date Range,01/01/2013 - 12/31/2013,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
12/31/2013,FIMM MONEY MKT INST,Dividends and Interest,"7.52","7.520"
12/31/2013,FID NEW MARKETS INC,Dividends and Interest,"81.12","5.203"
12/31/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"62.10","6.299"
12/26/2013,FID REAL ESTATE INVS,Dividends and Interest,"0.42","0.013"
12/24/2013,FID SEL FINANCIAL,CONTRIBUTION,"353.50","4.344"
12/24/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"176.76","3.292"
12/24/2013,FID REAL ESTATE INC,CONTRIBUTION,"176.74","15.966"
12/20/2013,FID SEL NATURAL RES,Dividends and Interest,"365.26","10.074"
12/20/2013,FID SEL MEDICAL DEL,Dividends and Interest,"1,849.55","25.771"
12/20/2013,FID SEL FINANCIAL,Dividends and Interest,"208.00","2.581"
12/20/2013,FID SEL CONSTR/HOUSE,Dividends and Interest,"852.47","16.130"
12/20/2013,FID NEW MARKETS INC,Dividends and Interest,"272.45","17.453"
12/18/2013,FID SEL FINANCIAL,CONTRIBUTION,"2,578.10","31.908"
12/18/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"1,289.06","22.620"
12/18/2013,FID REAL ESTATE INC,CONTRIBUTION,"1,289.04","116.444"
12/13/2013,FID REAL ESTATE INVS,Dividends and Interest,"42.23","1.353"
12/13/2013,FID REAL ESTATE INC,Dividends and Interest,"120.72","10.995"
12/11/2013,FID SEL FINANCIAL,CONTRIBUTION,"353.50","4.478"
12/11/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"176.76","3.182"
12/11/2013,FID REAL ESTATE INC,CONTRIBUTION,"176.74","15.654"
12/06/2013,FID VALUE K,Dividends and Interest,"453.95","4.521"
12/06/2013,FID SM CAP DISCOVERY,Dividends and Interest,"138.07","4.460"
12/06/2013,FID SEL TECHNOLOGY,Dividends and Interest,"835.06","7.089"
12/06/2013,FID SEL BIOTECH,Dividends and Interest,"77.89","0.437"
12/06/2013,FID JAPAN SMALL CO,Dividends and Interest,"372.73","27.940"
12/06/2013,FID EMEA,Dividends and Interest,"66.11","7.354"
12/06/2013,FID CHINA REGION,Dividends and Interest,"911.48","26.999"
12/06/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"100.57","10.294"
11/29/2013,FIMM MONEY MKT INST,Dividends and Interest,"7.50","7.500"
11/29/2013,FID NEW MARKETS INC,Dividends and Interest,"76.23","4.834"
11/29/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"60.44","6.137"
11/27/2013,FID SEL FINANCIAL,CONTRIBUTION,"353.50","4.420"
11/27/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"176.76","3.108"
11/27/2013,FID REAL ESTATE INC,CONTRIBUTION,"176.74","15.544"
11/13/2013,FID SEL FINANCIAL,CONTRIBUTION,"353.50","4.572"
11/13/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"176.76","3.150"
11/13/2013,FID REAL ESTATE INC,CONTRIBUTION,"176.74","15.572"
10/31/2013,FIMM MONEY MKT INST,Dividends and Interest,"7.79","7.790"
10/31/2013,FID NEW MARKETS INC,Dividends and Interest,"78.85","4.864"
10/31/2013,FID CAPITAL &amp; INCOME,Dividends and Interest,"62.65","6.406"
10/30/2013,FID SEL FINANCIAL,CONTRIBUTION,"353.50","4.592"
10/30/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"176.76","3.096"
10/30/2013,FID REAL ESTATE INC,CONTRIBUTION,"176.74","15.368"
10/16/2013,FID SEL FINANCIAL,CONTRIBUTION,"353.50","4.612"
10/16/2013,FID SEL CONSTR/HOUSE,CONTRIBUTION,"176.76","3.214"
10/16/2013,FID REAL ESTATE INC,CONTRIBUTION,"176.74","15.558"
10/02/2013,FID SEL FINANCIAL,CONTRIBUTION,"353.50","4.736"
