Date,Investment,Transaction,Amount,Shares
10/31/2014,FIMM MONEY MKT INST,Dividends and Interest,7.79,7.79
10/31/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,73.89,7.338
10/29/2014,FID SEL GOLD,CONTRIBUTION,357.02,20.262
10/29/2014,FID SEL FINANCIAL,CONTRIBUTION,214.22,2.492
10/29/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,142.82,2.53
10/15/2014,FID SEL GOLD,CONTRIBUTION,357.02,18.48
10/15/2014,FID SEL FINANCIAL,CONTRIBUTION,214.22,2.64
10/15/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,142.82,2.714
10/01/2014,FID SEL GOLD,CONTRIBUTION,357.02,18.76
10/01/2014,FID SEL FINANCIAL,CONTRIBUTION,214.22,2.542
10/01/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,142.82,2.644
09/30/2014,FIMM MONEY MKT INST,Dividends and Interest,7.66,7.66
09/30/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,72.78,7.3
09/17/2014,FID SEL GOLD,CONTRIBUTION,357.02,17.14
09/17/2014,FID SEL FINANCIAL,CONTRIBUTION,214.22,2.472
09/17/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,142.82,2.524
09/05/2014,FID REAL ESTATE INC,Dividends and Interest,173.21,14.716
09/03/2014,FID SEL GOLD,CONTRIBUTION,357.02,15.776
09/03/2014,FID SEL FINANCIAL,CONTRIBUTION,214.22,2.474
09/03/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,142.82,2.542
08/29/2014,FIMM MONEY MKT INST,Dividends and Interest,7.5,7.5
08/29/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,77.42,7.567
08/20/2014,FID SEL GOLD,CONTRIBUTION,357.02,15.316
08/20/2014,FID SEL FINANCIAL,CONTRIBUTION,214.22,2.516
08/20/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,142.82,2.534
08/06/2014,FID SEL GOLD,CONTRIBUTION,357.02,15.29
08/06/2014,FID SEL FINANCIAL,CONTRIBUTION,214.22,2.592
08/06/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,142.82,2.726
07/31/2014,FIMM MONEY MKT INST,Dividends and Interest,7.77,7.77
07/31/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,77.51,7.713
07/23/2014,FID SEL GOLD,CONTRIBUTION,357.02,15.198
07/23/2014,FID SEL FINANCIAL,CONTRIBUTION,214.22,2.514
07/23/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,142.82,2.632
07/09/2014,FID SEL GOLD,CONTRIBUTION,353.5,14.65
07/09/2014,FID SEL FINANCIAL,CONTRIBUTION,212.1,2.51
07/09/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,141.4,2.626
06/30/2014,FIMM MONEY MKT INST,Dividends and Interest,7.63,7.63
06/30/2014,FID CAPITAL &amp; INCOME,Dividends and Interest,75.71,7.401
06/25/2014,FID SEL GOLD,CONTRIBUTION,353.5,15.416
06/25/2014,FID SEL FINANCIAL,CONTRIBUTION,212.1,2.522
06/25/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,141.4,2.632
06/11/2014,FID SEL GOLD,CONTRIBUTION,353.5,16.93
06/11/2014,FID SEL FINANCIAL,CONTRIBUTION,212.1,2.532
06/11/2014,FID SEL CONSTR/HOUSE,CONTRIBUTION,141.4,2.646
